#1 ---------------------------------------------------------------- 1#
#2     Nucleosynthesis yields of B11TW1.00 model                    2#
#3     Nishimura, Takiwaki and Thielemann, ApJ 810:109 (2015)       3#
#4     Total ejecta:     2.15000e-02  in Solar Mass                 4#
#5 ---------------------------------------------------------------- 5#
#6   name     Z    N    A    X                   Y                  6#
#7 ---------------------------------------------------------------- 7#
     se74    34   40   74    5.4735972078e-08    7.3967529835e-10
     se76    34   42   76    3.2082773486e-09    4.2214175639e-11
     se77    34   43   77    5.9164549785e-03    7.6837077643e-05
     se78    34   44   78    1.0028429632e-01    1.2856961067e-03
     se80    34   46   80    9.5612861463e-02    1.1951607683e-03
     se82    34   48   82    7.4443675096e-03    9.0784969629e-05
     br79    35   44   79    2.3562931156e-02    2.9826495134e-04
     br81    35   46   81    6.3444829614e-02    7.8326950141e-04
     kr78    36   42   78    5.7552908375e-09    7.3785779968e-11
     kr80    36   44   80    6.7425103350e-11    8.4281379188e-13
     kr82    36   46   82    3.0426797727e-10    3.7105850887e-12
     kr83    36   47   83    3.7475029049e-03    4.5150637408e-05
     kr84    36   48   84    1.9581313955e-02    2.3311088041e-04
     kr86    36   50   86    5.8224950959e-03    6.7703431347e-05
     rb85    37   48   85    8.6325073809e-03    1.0155891036e-04
     rb87    37   50   87    9.5792472413e-03    1.1010629013e-04
     sr84    38   46   84    1.0397386488e-10    1.2377841057e-12
     sr86    38   48   86    1.7370797137e-11    2.0198601323e-13
     sr87    38   49   87    6.4550708084e-12    7.4196216188e-14
     sr88    38   50   88    3.1788968002e-03    3.6123827275e-05
     y89     39   50   89    1.8207052494e-03    2.0457362353e-05
     zr90    40   50   90    5.2203023635e-03    5.8003359595e-05
     zr91    40   51   91    6.6252671686e-03    7.2805133721e-05
     zr92    40   52   92    4.9223838090e-03    5.3504171837e-05
     zr94    40   54   94    3.0819502912e-03    3.2786705226e-05
     zr96    40   56   96    3.1904195970e-03    3.3233537469e-05
     nb93    41   52   93    1.3758219467e-03    1.4793784373e-05
     mo92    42   50   92    3.5928804055e-10    3.9053047886e-12
     mo94    42   52   94    1.2639216377e-14    1.3445974869e-16
     mo95    42   53   95    6.0315692695e-03    6.3490202836e-05
     mo96    42   54   96    2.0683472059e-05    2.1545283395e-07
     mo97    42   55   97    2.2914554227e-03    2.3623251780e-05
     mo98    42   56   98    5.9130963158e-03    6.0337717508e-05
     mo100   42   58  100    1.9718864113e-03    1.9718864113e-05
     ru96    44   52   96    7.8774076507e-15    8.2056329695e-17
     ru98    44   54   98    2.1317690933e-16    2.1752745850e-18
     ru99    44   55   99    4.0589181165e-03    4.0999172894e-05
     ru100   44   56  100    6.4975656431e-15    6.4975656431e-17
     ru101   44   57  101    1.4964134415e-03    1.4815974668e-05
     ru102   44   58  102    1.3416152582e-03    1.3153090766e-05
     ru104   44   60  104    3.3923217338e-03    3.2618478210e-05
     rh103   45   58  103    2.5470548263e-03    2.4728687634e-05
     pd102   46   56  102    9.3776654693e-16    9.1937896758e-18
     pd104   46   58  104    5.2717260740e-16    5.0689673789e-18
     pd105   46   59  105    4.0339296655e-03    3.8418377767e-05
     pd106   46   60  106    2.8067156283e-03    2.6478449324e-05
     pd108   46   62  108    5.9374750403e-03    5.4976620743e-05
     pd110   46   64  110    4.3113758787e-03    3.9194326170e-05
     ag107   47   60  107    3.5967247826e-03    3.3614250304e-05
     ag109   47   62  109    4.1121296691e-03    3.7725960267e-05
     cd106   48   58  106    2.2853684923e-16    2.1560080116e-18
     cd108   48   60  108    3.6486652104e-16    3.3783937134e-18
