 Tables of Bolometric Corrections Derived from the 2008 MARCS model atmospheres
 31 Teffs        12 log gs       11 [Fe/H]s       5 BC values   E(B-V) = 0.000
 2600. 2700. 2800. 2900. 3000. 3100. 3200. 3300. 3400. 3500. 3600. 3700. 3800.
 3900. 4000. 4250. 4500. 4750. 5000. 5250. 5500. 5750. 6000. 6250. 6500. 6750.
 7000. 7250. 7500. 7750. 8000.
 0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5
  19  20  21  22  24  30  31  31  31  31  31  19
 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u      sdss    
 -1.5515 -1.4199 -1.3375 -1.2854 -1.2526 -1.2324 -1.2203 -1.2126 -1.2064 -1.1996
 -1.1920
 -9.9328 -9.1076 -8.3913 -7.7702 -7.2564 -6.8474 -6.5216 -6.2418 -5.9717 -5.6906
 -5.4011 -5.1194 -4.8612 -4.6207 -4.3768 -3.7024 -3.0539 -2.5269 -2.0965 -1.7596
 -1.5257 -1.3785 -1.2893 -1.2352 -1.2029 -1.1842 -1.1749 -1.1719 -1.1727 -1.1752
 -1.1780
-10.1748 -9.3410 -8.6031 -7.9403 -7.3617 -6.8761 -6.4835 -6.1631 -5.8836 -5.6138
 -5.3351 -5.0472 -4.7659 -4.5045 -4.2633 -3.6824 -3.0894 -2.5616 -2.1267 -1.7770
 -1.5195 -1.3499 -1.2463 -1.1854 -1.1507 -1.1327 -1.1261 -1.1251 -1.1283 -1.1351
 -1.1452
-10.4562 -9.6122 -8.8680 -8.2015 -7.5801 -7.0315 -6.5626 -6.1752 -5.8546 -5.5737
 -5.3062 -5.0337 -4.7543 -4.4804 -4.2231 -3.6568 -3.1216 -2.6118 -2.1750 -1.8165
 -1.5390 -1.3439 -1.2182 -1.1426 -1.0998 -1.0779 -1.0701 -1.0715 -1.0788 -1.0892
 -1.1006
-10.7349 -9.9157 -9.1806 -8.5107 -7.8658 -7.2838 -6.7590 -6.3010 -5.9135 -5.5882
 -5.3042 -5.0382 -4.7732 -4.5048 -4.2408 -3.6521 -3.1426 -2.6605 -2.2269 -1.8639
 -1.5734 -1.3570 -1.2079 -1.1120 -1.0550 -1.0245 -1.0119 -1.0112 -1.0185 -1.0310
 -1.0459
-11.0098-10.2513 -9.5409 -8.8567 -8.2065 -7.5984 -7.0393 -6.5346 -6.0852 -5.6947
 -5.3628 -5.0735 -4.8072 -4.5485 -4.2908 -3.6836 -3.1669 -2.7049 -2.2802
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  u      sdss    
-11.9978-11.4837-10.9417-10.4584 -9.8120 -9.0952 -8.4730 -8.0280 -7.6543 -7.3156
 -6.9897 -6.6744 -6.3703 -6.0743 -5.7830 -5.0592 -4.3221 -3.5928 -2.9681
-10.6545-10.3457-10.1138 -9.7984 -9.4582 -8.9674 -8.3157 -7.7850 -7.3653 -6.9962
 -6.6418 -6.3013 -5.9758 -5.6637 -5.3616 -4.6370 -3.9426 -3.2937 -2.7412 -2.3315
-10.0491 -9.4770 -9.2113 -9.1036 -8.9268 -8.6634 -8.2372 -7.6672 -7.1822 -6.7783
 -6.3964 -6.0298 -5.6817 -5.3526 -5.0398 -4.3150 -3.6545 -3.0635 -2.5656 -2.1898
 -1.9326
 -9.7831 -9.0829 -8.6336 -8.3809 -8.2712 -8.1746 -7.9680 -7.6064 -7.1017 -6.6500
 -6.2456 -5.8567 -5.4875 -5.1412 -4.8170 -4.0875 -3.4490 -2.8956 -2.4341 -2.0797
 -1.8365 -1.6741
 -9.7237 -8.9256 -8.3599 -7.9762 -7.7248 -7.5615 -7.4545 -7.3040 -7.0180 -6.5919
 -6.1733 -5.7709 -5.3855 -5.0234 -4.6865 -3.9447 -3.3156 -2.7824 -2.3413 -1.9981
 -1.7593 -1.6030 -1.4992 -1.4262
 -9.8344 -8.9495 -8.2671 -7.7776 -7.4282 -7.1704 -6.9658 -6.7902 -6.6352 -6.4257
 -6.1055 -5.7402 -5.3576 -4.9849 -4.6359 -3.8742 -3.2430 -2.7169 -2.2835 -1.9427
 -1.7004 -1.5426 -1.4413 -1.3748 -1.3288 -1.2958 -1.2709 -1.2499 -1.2290 -1.2047
-10.0817 -9.1306 -8.3446 -7.7394 -7.2958 -6.9685 -6.7056 -6.4664 -6.2391 -6.0343
 -5.8395 -5.6078 -5.3222 -4.9923 -4.6472 -3.8636 -3.2212 -2.6926 -2.2584 -1.9128
 -1.6599 -1.4934 -1.3887 -1.3229 -1.2807 -1.2526 -1.2337 -1.2204 -1.2100 -1.1996
 -1.1860
-10.4198 -9.4361 -8.5697 -7.8571 -7.3033 -6.8858 -6.5656 -6.2973 -6.0450 -5.7953
 -5.5592 -5.3422 -5.1334 -4.9067 -4.6442 -3.9012 -3.2421 -2.7042 -2.2632 -1.9085
 -1.6401 -1.4574 -1.3426 -1.2726 -1.2301 -1.2046 -1.1894 -1.1808 -1.1766 -1.1746
 -1.1734
-10.8189 -9.8176 -8.9045 -8.1066 -7.4476 -6.9293 -6.5285 -6.2108 -5.9393 -5.6823
 -5.4278 -5.1802 -4.9467 -4.7322 -4.5239 -3.9372 -3.2922 -2.7413 -2.2906 -1.9250
 -1.6395 -1.4355 -1.3041 -1.2246 -1.1781 -1.1521 -1.1393 -1.1331 -1.1318 -1.1348
 -1.1418
-11.2468-10.2536 -9.3290 -8.4769 -7.7326 -7.1126 -6.6170 -6.2251 -5.9079 -5.6341
 -5.3777 -5.1251 -4.8753 -4.6368 -4.4160 -3.9066 -3.3589 -2.8100 -2.3469 -1.9686
 -1.6659 -1.4381 -1.2829 -1.1859 -1.1291 -1.0981 -1.0837 -1.0799 -1.0829 -1.0897
 -1.0985
-11.6521-10.7070 -9.7900 -8.9215 -8.1255 -7.4231 -6.8314 -6.3505 -5.9635 -5.6452
 -5.3698 -5.1148 -4.8653 -4.6186 -4.3808 -3.8565 -3.3804 -2.8847 -2.4188 -2.0282
 -1.7104 -1.4613 -1.2808 -1.1611 -1.0877 -1.0464 -1.0265 -1.0204 -1.0235 -1.0325
 -1.0445
-12.0176-11.1263-10.2442 -9.3928 -8.5823 -7.8335 -7.1671 -6.5975 -6.1254 -5.7391
 -5.4184 -5.1406 -4.8860 -4.6407 -4.3992 -3.8433 -3.3766 -2.9347 -2.4939
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  u      sdss    
-12.1601-11.5197-10.9439-10.4147 -9.6993 -8.8323 -8.2342 -7.8317 -7.4982 -7.1809
 -6.8796 -6.5882 -6.3064 -6.0319 -5.7608 -5.0829 -4.3969 -3.7169 -3.0930
-10.8100-10.5598-10.2031 -9.8400 -9.4316 -8.7777 -8.0888 -7.5976 -7.2152 -6.8693
 -6.5416 -6.2282 -5.9284 -5.6398 -5.3590 -4.6800 -4.0254 -3.4085 -2.8624 -2.4296
-10.0387 -9.5716 -9.4211 -9.2450 -8.9964 -8.6508 -8.0753 -7.4839 -7.0370 -6.6574
 -6.3047 -5.9688 -5.6505 -5.3483 -5.0589 -4.3791 -3.7488 -3.1770 -2.6827 -2.2875
 -2.0042
 -9.7656 -9.0822 -8.6946 -8.5391 -8.4566 -8.2830 -7.9843 -7.4881 -6.9590 -6.5348
 -6.1602 -5.8046 -5.4686 -5.1522 -4.8533 -4.1687 -3.5532 -3.0096 -2.5479 -2.1770
 -1.9080 -1.7265
 -9.7353 -8.9158 -8.3598 -8.0162 -7.8252 -7.7344 -7.6224 -7.3809 -6.9743 -6.4930
 -6.0926 -5.7226 -5.3718 -5.0419 -4.7324 -4.0362 -3.4258 -2.8964 -2.4521 -2.0948
 -1.8314 -1.6545 -1.5376 -1.4555
 -9.8992 -8.9593 -8.2613 -7.7801 -7.4577 -7.2363 -7.0814 -6.9624 -6.7907 -6.4854
 -6.0804 -5.7033 -5.3433 -5.0027 -4.6827 -3.9691 -3.3551 -2.8295 -2.3913 -2.0384
 -1.7739 -1.5944 -1.4787 -1.4029 -1.3504 -1.3126 -1.2833 -1.2577 -1.2321 -1.2046
-10.2165 -9.1862 -8.3544 -7.7350 -7.2963 -6.9822 -6.7406 -6.5341 -6.3560 -6.1915
 -5.9796 -5.6832 -5.3550 -5.0170 -4.6896 -3.9563 -3.3320 -2.8029 -2.3626 -2.0073
 -1.7359 -1.5472 -1.4263 -1.3500 -1.3010 -1.2682 -1.2452 -1.2281 -1.2138 -1.1999
 -1.1828
-10.6324 -9.5527 -8.6186 -7.8673 -7.2992 -6.8844 -6.5733 -6.3184 -6.0858 -5.8664
 -5.6681 -5.4775 -5.2636 -5.0118 -4.7247 -3.9879 -3.3497 -2.8116 -2.3649 -2.0014
 -1.7182 -1.5147 -1.3821 -1.2999 -1.2497 -1.2189 -1.1996 -1.1877 -1.1804 -1.1753
 -1.1708
-11.1095-10.0001 -9.0023 -8.1480 -7.4583 -6.9271 -6.5258 -6.2145 -5.9525 -5.7089
 -5.4744 -5.2555 -5.0513 -4.8575 -4.6539 -4.0420 -3.3965 -2.8472 -2.3903 -2.0161
 -1.7189 -1.4970 -1.3470 -1.2535 -1.1979 -1.1660 -1.1489 -1.1409 -1.1382 -1.1382
 -1.1401
-11.6101-10.5141 -9.4854 -8.5591 -7.7672 -7.1229 -6.6169 -6.2235 -5.9101 -5.6436
 -5.3974 -5.1605 -4.9330 -4.7190 -4.5212 -4.0364 -3.4736 -2.9167 -2.4477 -2.0602
 -1.7466 -1.5036 -1.3303 -1.2181 -1.1505 -1.1125 -1.0935 -1.0862 -1.0863 -1.0908
 -1.0973
-12.0814-11.0292-10.0091 -9.0518 -8.1905 -7.4501 -6.8405 -6.3528 -5.9645 -5.6489
 -5.3792 -5.1329 -4.8965 -4.6673 -4.4495 -3.9694 -3.5067 -3.0012 -2.5246 -2.1233
 -1.7937 -1.5306 -1.3330 -1.1973 -1.1119 -1.0624 -1.0370 -1.0271 -1.0273 -1.0339
 -1.0437
-12.4919-11.5061-10.5275 -9.5765 -8.6863 -7.8820 -7.1847 -6.6028 -6.1281 -5.7427
 -5.4249 -5.1522 -4.9052 -4.6703 -4.4427 -3.9270 -3.4907 -3.0585 -2.6101
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  u      sdss    
-12.2611-11.5561-10.9464-10.3272 -9.4935 -8.6172 -8.0468 -7.6575 -7.3508 -7.0623
 -6.7868 -6.5200 -6.2606 -6.0065 -5.7549 -5.1211 -4.4788 -3.8479 -3.2328
-11.0865-10.7092-10.2809 -9.8692 -9.3458 -8.5682 -7.8911 -7.4300 -7.0710 -6.7563
 -6.4582 -6.1735 -5.9001 -5.6355 -5.3761 -4.7414 -4.1216 -3.5322 -2.9979 -2.5501
-10.0769 -9.7888 -9.6124 -9.3452 -9.0343 -8.5572 -7.8778 -7.3103 -6.8933 -6.5454
 -6.2256 -5.9227 -5.6354 -5.3607 -5.0954 -4.4612 -3.8594 -3.3034 -2.8138 -2.4060
 -2.0955
 -9.7397 -9.1095 -8.8377 -8.7484 -8.5861 -8.3345 -7.9091 -7.3143 -6.8113 -6.4215
 -6.0808 -5.7608 -5.4590 -5.1734 -4.9011 -4.2639 -3.6735 -3.1383 -2.6757 -2.2934
 -1.9994 -1.7938
 -9.7205 -8.8965 -8.3763 -8.1014 -7.9977 -7.9096 -7.7108 -7.3514 -6.8357 -6.3778
