   Z  El     A     pct             N                 logN
40.0  Zr  94.0   17.38         1.873   0.2725377773752374
40.0  Zr  96.0   2.799         0.302  -0.5199930570428494
41.0  Nb  93.0   100.0          0.78 -0.10790539730951958
42.0  Mo  92.0  14.525          0.37   -0.431798275933005
42.0  Mo  94.0   9.151         0.233   -0.632644078973981
42.0  Mo  95.0  15.838         0.404   -0.393618634889395
42.0  Mo  96.0  16.672         0.425 -0.37161106994968846
42.0  Mo  97.0   9.599         0.245  -0.6108339156354675
42.0  Mo  98.0  24.391         0.622  -0.2062096153091813
42.0  Mo 100.0   9.824          0.25  -0.6020599913279624
44.0  Ru  96.0   5.542         0.099    -1.00436480540245
44.0  Ru  98.0   1.869         0.033  -1.4814860601221125
44.0  Ru  99.0  12.758         0.227  -0.6439741428068773
44.0  Ru 100.0  12.599         0.224  -0.6497519816658371
44.0  Ru 101.0   17.06         0.304  -0.5171264163912462
44.0  Ru 102.0  31.552         0.562  -0.2502636844309389
44.0  Ru 104.0  18.621         0.332  -0.4788619162959637
45.0  Rh 103.0   100.0          0.37   -0.431798275933005
46.0  Pd 102.0    1.02        0.0139   -1.856985199745905
46.0  Pd 104.0   11.14        0.1513  -0.8201610719768133
46.0  Pd 105.0   22.33        0.3032  -0.5182708030399841
46.0  Pd 106.0   27.33         0.371 -0.43062609038495414
46.0  Pd 108.0   26.46         0.359 -0.44490555142168087
46.0  Pd 110.0   11.72         0.159  -0.7986028756795485
47.0  Ag 107.0  51.839         0.254   -0.595166283380062
47.0  Ag 109.0  48.161         0.236  -0.6270879970298935
48.0  Cd 106.0    1.25          0.02  -1.6989700043360187
48.0  Cd 108.0    0.89         0.014   -1.853871964321762
48.0  Cd 110.0   12.49         0.197  -0.7055337738384071
48.0  Cd 111.0    12.8         0.201  -0.6968039425795111
48.0  Cd 112.0   24.13          0.38 -0.42021640338318983
48.0  Cd 113.0   12.22         0.192  -0.7166987712964504
48.0  Cd 114.0   28.73         0.452  -0.3448615651886179
48.0  Cd 116.0    7.49         0.118  -0.9281179926938746
49.0  In 113.0   4.288         0.008  -2.0969100130080562
49.0  In 115.0  95.712          0.17   -0.769551078621726
50.0  Sn 112.0   0.971         0.035  -1.4559319556497243
50.0  Sn 114.0   0.659         0.024  -1.6197887582883939
50.0  Sn 115.0   0.339         0.012  -1.9208187539523751
50.0  Sn 116.0  14.536         0.524 -0.28066871301627333
50.0  Sn 117.0   7.676         0.277  -0.5575202309355514
