  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
 0.8118966  3.8158  0.5614  4.0012  3.448 -0.211  0.361  0.237  0.497  0.817  1.057  1.096  1.124  1.402  7.6870E+00  5.4751E+00  3.8020E+00
 0.8145682  3.8098  0.6049  3.9353  3.349 -0.219  0.371  0.247  0.516  0.858  1.115  1.157  1.189  1.485  4.1064E+00  2.8999E+00  2.0017E+00
 0.8160030  3.8033  0.6348  3.8801  3.286 -0.226  0.383  0.258  0.539  0.905  1.180  1.225  1.263  1.579  2.4469E+00  1.7198E+00  1.1832E+00
 0.8170151  3.7969  0.6583  3.8314  3.239 -0.232  0.395  0.270  0.564  0.953  1.244  1.293  1.336  1.674  1.8220E+00  1.2767E+00  8.7646E-01
 0.8178250  3.7906  0.6787  3.7862  3.201 -0.238  0.408  0.281  0.588  0.998  1.305  1.358  1.405  1.763  1.4899E+00  1.0415E+00  7.1379E-01
 0.8185049  3.7843  0.6967  3.7435  3.170 -0.248  0.419  0.293  0.612  1.042  1.363  1.419  1.471  1.847  1.2912E+00  9.0078E-01  6.1648E-01
 0.8191161  3.7782  0.7138  3.7022  3.140 -0.258  0.431  0.304  0.635  1.082  1.415  1.475  1.532  1.925  1.1929E+00  8.3072E-01  5.6782E-01
 0.8196978  3.7721  0.7306  3.6613  3.108 -0.262  0.444  0.315  0.658  1.116  1.460  1.522  1.583  1.991  1.1428E+00  7.9456E-01  5.4247E-01
 0.8202590  3.7662  0.7479  3.6206  3.073 -0.264  0.458  0.327  0.682  1.143  1.496  1.560  1.625  2.045  1.0957E+00  7.6058E-01  5.1869E-01
 0.8207935  3.7604  0.7664  3.5792  3.034 -0.261  0.472  0.339  0.705  1.168  1.530  1.596  1.664  2.098  1.0658E+00  7.3869E-01  5.0322E-01
 0.8213248  3.7548  0.7879  3.5359  2.987 -0.255  0.488  0.350  0.727  1.196  1.567  1.636  1.708  2.155  1.0708E+00  7.4102E-01  5.0426E-01
 0.8218643  3.7497  0.8141  3.4894  2.930 -0.245  0.505  0.361  0.748  1.227  1.610  1.683  1.759  2.223  1.0984E+00  7.5891E-01  5.1587E-01
 0.8224232  3.7451  0.8468  3.4387  2.856 -0.229  0.521  0.370  0.767  1.259  1.653  1.732  1.811  2.292  1.1290E+00  7.7882E-01  5.2881E-01
 0.8229934  3.7411  0.8857  3.3840  2.766 -0.213  0.536  0.378  0.783  1.287  1.690  1.774  1.856  2.352  1.1483E+00  7.9084E-01  5.3636E-01
 0.8235715  3.7380  0.9318  3.3257  2.655 -0.199  0.548  0.384  0.793  1.309  1.718  1.805  1.889  2.396  1.1292E+00  7.7645E-01  5.2600E-01
 0.8241226  3.7355  0.9811  3.2667  2.535 -0.189  0.558  0.387  0.800  1.324  1.739  1.827  1.913  2.428  1.0575E+00  7.2602E-01  4.9130E-01
 0.8246290  3.7334  1.0310  3.2090  2.413 -0.180  0.567  0.390  0.804  1.337  1.755  1.845  1.932  2.453  9.6852E-01  6.6395E-01  4.4884E-01
 0.8250911  3.7317  1.0806  3.1526  2.291 -0.172  0.574  0.393  0.808  1.348  1.769  1.860  1.948  2.474  8.8619E-01  6.0670E-01  4.0976E-01
 0.8255152  3.7301  1.1296  3.0975  2.170 -0.163  0.581  0.395  0.812  1.357  1.782  1.873  1.964  2.493  8.4109E-01  5.7512E-01  3.8810E-01
 0.8259322  3.7287  1.1778  3.0438  2.051 -0.156  0.587  0.397  0.815  1.366  1.794  1.886  1.978  2.512  7.9859E-01  5.4542E-01  3.6775E-01
 0.8263138  3.7272  1.2250  2.9909  1.935 -0.148  0.594  0.399  0.818  1.375  1.806  1.899  1.991  2.530  7.2744E-01  4.9629E-01  3.3437E-01
 0.8266596  3.7257  1.2710  2.9390  1.822 -0.140  0.600  0.401  0.822  1.385  1.819  1.912  2.005  2.548  6.6208E-01  4.5126E-01  3.0382E-01
 0.8269759  3.7243  1.3165  2.8881  1.710 -0.133  0.605  0.403  0.826  1.393  1.830  1.924  2.018  2.565  5.9972E-01  4.0838E-01  2.7478E-01
 0.8272594  3.7229  1.3611  2.8381  1.600 -0.126  0.611  0.405  0.830  1.401  1.841  1.937  2.030  2.581  5.4175E-01  3.6861E-01  2.4788E-01
 0.8275176  3.7216  1.4051  2.7891  1.493 -0.119  0.616  0.408  0.833  1.409  1.852  1.948  2.042  2.595  4.9003E-01  3.3318E-01  2.2394E-01
 0.8277494  3.7203  1.4481  2.7410  1.387 -0.112  0.621  0.410  0.838  1.417  1.863  1.959  2.053  2.610  4.3748E-01  2.9725E-01  1.9970E-01
 0.8279551  3.7191  1.4905  2.6937  1.284 -0.106  0.625  0.412  0.842  1.425  1.873  1.970  2.063  2.625  3.8797E-01  2.6345E-01  1.7692E-01
 0.8281374  3.7177  1.5316  2.6472  1.184 -0.099  0.630  0.416  0.848  1.434  1.885  1.983  2.076  2.642  3.4784E-01  2.3608E-01  1.5848E-01
 0.8283030  3.7163  1.5718  2.6015  1.087 -0.094  0.634  0.419  0.854  1.442  1.897  1.996  2.088  2.658  3.1519E-01  2.1382E-01  1.4349E-01
 0.8284526  3.7150  1.6114  2.5566  0.992 -0.087  0.638  0.422  0.861  1.451  1.909  2.009  2.099  2.673  2.8423E-01  1.9274E-01  1.2930E-01
 0.8285872  3.7136  1.6502  2.5125  0.899 -0.082  0.642  0.426  0.868  1.459  1.921  2.021  2.111  2.689  2.6037E-01  1.7649E-01  1.1837E-01
 0.8287129  3.7123  1.6884  2.4693  0.807 -0.076  0.646  0.429  0.875  1.467  1.932  2.033  2.122  2.704  2.4163E-01  1.6373E-01  1.0978E-01
 0.8288288  3.7112  1.7262  2.4269  0.716 -0.071  0.649  0.433  0.881  1.475  1.942  2.044  2.132  2.717  2.2451E-01  1.5208E-01  1.0195E-01
 0.8289374  3.7100  1.7631  2.3852  0.628 -0.065  0.653  0.437  0.888  1.483  1.953  2.055  2.142  2.731  2.0904E-01  1.4155E-01  9.4872E-02
