#Z=0.000039 Y=0.230077 OS=0.20 l/Hp=1.743201 [Fe/H]=   -3.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
 0.8216570  3.7815  0.7683  3.6623  3.005 -0.256  0.424  0.297  0.621  1.073  1.404  1.464  1.519  1.908  9.2911E-01  6.4234E-01  4.3682E-01
 0.8221168  3.7757  0.7846  3.6230  2.974 -0.261  0.436  0.308  0.644  1.103  1.442  1.505  1.564  1.966  8.7265E-01  6.0253E-01  4.0938E-01
 0.8225297  3.7699  0.7998  3.5850  2.944 -0.269  0.446  0.319  0.664  1.122  1.470  1.531  1.593  2.003  8.0716E-01  5.5664E-01  3.7788E-01
 0.8229240  3.7644  0.8151  3.5476  2.912 -0.276  0.458  0.328  0.685  1.143  1.498  1.559  1.625  2.043  7.5913E-01  5.2294E-01  3.5472E-01
 0.8232888  3.7588  0.8304  3.5103  2.882 -0.276  0.473  0.340  0.708  1.172  1.539  1.603  1.672  2.105  7.7081E-01  5.3040E-01  3.5951E-01
 0.8236948  3.7533  0.8486  3.4702  2.846 -0.264  0.489  0.351  0.733  1.210  1.587  1.658  1.732  2.184  8.4366E-01  5.7986E-01  3.9272E-01
 0.8241325  3.7481  0.8736  3.4245  2.793 -0.247  0.505  0.363  0.756  1.245  1.635  1.712  1.790  2.261  9.2700E-01  6.3634E-01  4.3058E-01
 0.8246218  3.7438  0.9086  3.3725  2.713 -0.233  0.519  0.372  0.773  1.274  1.673  1.755  1.835  2.322  9.8559E-01  6.7563E-01  4.5674E-01
 0.8251180  3.7403  0.9496  3.3178  2.616 -0.222  0.531  0.378  0.785  1.296  1.703  1.788  1.871  2.369  9.7128E-01  6.6490E-01  4.4904E-01
 0.8255931  3.7374  0.9935  3.2629  2.511 -0.212  0.542  0.383  0.793  1.315  1.726  1.814  1.898  2.406  9.1682E-01  6.2677E-01  4.2289E-01
 0.8260349  3.7351  1.0390  3.2083  2.401 -0.203  0.551  0.387  0.800  1.329  1.746  1.835  1.921  2.436  8.5262E-01  5.8215E-01  3.9244E-01
 0.8264457  3.7331  1.0851  3.1544  2.287 -0.194  0.558  0.390  0.805  1.342  1.763  1.853  1.940  2.461  8.2711E-01  5.6406E-01  3.7992E-01
 0.8268620  3.7313  1.1309  3.1015  2.175 -0.187  0.566  0.393  0.810  1.353  1.778  1.869  1.959  2.484  8.2095E-01  5.5920E-01  3.7634E-01
 0.8272666  3.7295  1.1764  3.0494  2.063 -0.178  0.572  0.395  0.815  1.364  1.793  1.883  1.974  2.506  7.8056E-01  5.3109E-01  3.5714E-01
 0.8276425  3.7278  1.2209  2.9983  1.955 -0.171  0.579  0.398  0.819  1.375  1.807  1.900  1.991  2.527  7.3120E-01  4.9697E-01  3.3394E-01
 0.8279978  3.7264  1.2654  2.9482  1.845 -0.164  0.584  0.400  0.823  1.383  1.818  1.911  2.004  2.544  6.7663E-01  4.5942E-01  3.0849E-01
 0.8283192  3.7251  1.3092  2.8991  1.737 -0.157  0.590  0.402  0.827  1.391  1.829  1.924  2.017  2.560  6.1530E-01  4.1740E-01  2.8009E-01
 0.8286131  3.7237  1.3522  2.8508  1.632 -0.150  0.595  0.404  0.830  1.400  1.840  1.936  2.029  2.576  5.5817E-01  3.7833E-01  2.5373E-01
 0.8288773  3.7223  1.3944  2.8034  1.528 -0.143  0.600  0.406  0.834  1.408  1.852  1.947  2.041  2.592  5.0039E-01  3.3891E-01  2.2717E-01
 0.8291135  3.7212  1.4362  2.7569  1.426 -0.137  0.605  0.408  0.837  1.415  1.861  1.957  2.051  2.606  4.4434E-01  3.0075E-01  2.0150E-01
 0.8293217  3.7196  1.4760  2.7110  1.329 -0.129  0.610  0.412  0.843  1.425  1.873  1.971  2.065  2.624  3.9921E-01  2.7004E-01  1.8085E-01
 0.8295127  3.7182  1.5154  2.6660  1.233 -0.122  0.614  0.414  0.847  1.433  1.886  1.984  2.078  2.641  3.6618E-01  2.4756E-01  1.6573E-01
 0.8296879  3.7170  1.5548  2.6218  1.137 -0.116  0.618  0.416  0.851  1.440  1.895  1.994  2.087  2.654  3.3118E-01  2.2379E-01  1.4977E-01
 0.8298439  3.7157  1.5931  2.5785  1.044 -0.110  0.623  0.419  0.857  1.448  1.906  2.005  2.099  2.670  3.0304E-01  2.0468E-01  1.3693E-01
 0.8299909  3.7146  1.6312  2.5360  0.952 -0.105  0.626  0.421  0.861  1.455  1.915  2.015  2.108  2.682  2.8237E-01  1.9064E-01  1.2751E-01
 0.8301263  3.7135  1.6686  2.4943  0.860 -0.098  0.629  0.424  0.865  1.461  1.925  2.024  2.117  2.694  2.5850E-01  1.7446E-01  1.1665E-01
 0.8302494  3.7123  1.7050  2.4532  0.772 -0.092  0.633  0.426  0.871  1.468  1.934  2.035  2.126  2.707  2.3511E-01  1.5862E-01  1.0603E-01
 0.8303614  3.7112  1.7409  2.4129  0.685 -0.085  0.637  0.429  0.877  1.476  1.943  2.045  2.135  2.719  2.1991E-01  1.4832E-01  9.9123E-02
 0.8304693  3.7100  1.7758  2.3733  0.602 -0.079  0.641  0.433  0.883  1.483  1.953  2.056  2.145  2.733  2.0833E-01  1.4047E-01  9.3856E-02
 0.8305697  3.7086  1.8095  2.3343  0.522 -0.073  0.645  0.437  0.890  1.491  1.965  2.069  2.157  2.748  2.0166E-01  1.3593E-01  9.0804E-02
 0.8306710  3.7072  1.8424  2.2959  0.444 -0.066  0.649  0.442  0.898  1.500  1.977  2.081  2.168  2.763  2.0033E-01  1.3499E-01  9.0162E-02
 0.8307701  3.7061  1.8754  2.2582  0.365 -0.060  0.653  0.445  0.904  1.507  1.987  2.092  2.178  2.777  1.9067E-01  1.2845E-01  8.5776E-02
 0.8308616  3.7049  1.9079  2.2211  0.288 -0.054  0.656  0.448  0.911  1.514  1.997  2.102  2.188  2.790  1.6372E-01  1.1027E-01  7.3620E-02
 0.8309338  3.7038  1.9398  2.1848  0.212 -0.048  0.658  0.452  0.918  1.521  2.007  2.113  2.198  2.803  1.3335E-01  8.9790E-02  5.9941E-02
 0.8309950  3.7028  1.9715  2.1492  0.136 -0.042  0.661  0.456  0.924  1.528  2.017  2.123  2.207  2.815  1.0094E-01  6.7955E-02  4.5359E-02
 0.8310347  3.7019  2.0028  2.1142  0.061 -0.037  0.664  0.459  0.930  1.535  2.026  2.132  2.216  2.828  7.0294E-02  4.7319E-02  3.1582E-02
 0.8310653  3.7008  2.0331  2.0797 -0.011 -0.031  0.667  0.462  0.936  1.543  2.036  2.143  2.225  2.840  6.3058E-02  4.2444E-02  2.8327E-02
 0.8310978  3.6998  2.0629  2.0459 -0.082 -0.026  0.670  0.465  0.941  1.551  2.045  2.153  2.234  2.853  6.4898E-02  4.3679E-02  2.9149E-02
 0.8311302  3.6988  2.0921  2.0127 -0.152 -0.019  0.673  0.468  0.945  1.558  2.054  2.163  2.244  2.866  7.2911E-02  4.9067E-02  3.2742E-02
 0.8311707  3.6978  2.1209  1.9799 -0.221 -0.013  0.677  0.471  0.950  1.565  2.063  2.172  2.253  2.879  8.2241E-02  5.5340E-02  3.6925E-02
 0.8312124  3.6967  2.1488  1.9477 -0.288 -0.005  0.682  0.473  0.955  1.573  2.073  2.182  2.264  2.891  8.6024E-02  5.7878E-02  3.8616E-02
 0.8312567  3.6956  2.1761  1.9160 -0.353  0.002  0.687  0.476  0.960  1.580  2.083  2.192  2.274  2.903  9.2030E-02  6.1911E-02  4.1303E-02
 0.8313045  3.6945  2.2028  1.8849 -0.416  0.010  0.692  0.479  0.965  1.587  2.093  2.202  2.283  2.917  9.7355E-02  6.5484E-02  4.3683E-02
 0.8313541  3.6935  2.2292  1.8543 -0.480  0.018  0.698  0.481  0.970  1.593  2.101  2.211  2.292  2.929  1.0383E-01  6.9830E-02  4.6577E-02
 0.8314083  3.6925  2.2557  1.8242 -0.544  0.025  0.703  0.483  0.974  1.599  2.108  2.219  2.301  2.939  1.0237E-01  6.8841E-02  4.5912E-02
 0.8314564  3.6916  2.2818  1.7945 -0.607  0.033  0.708  0.486  0.977  1.605  2.116  2.226  2.309  2.949  7.9653E-02  5.3555E-02  3.5715E-02
 0.8314879  3.6906  2.3066  1.7653 -0.666  0.043  0.714  0.489  0.981  1.611  2.123  2.234  2.317  2.960  6.0496E-02  4.0671E-02  2.7121E-02
 0.8315169  3.6895  2.3310  1.7367 -0.724  0.053  0.721  0.492  0.985  1.617  2.130  2.242  2.325  2.971  5.3267E-02  3.5808E-02  2.3876E-02
 0.8315412  3.6886  2.3556  1.7086 -0.783  0.062  0.727  0.494  0.989  1.621  2.135  2.249  2.332  2.980  4.8688E-02  3.2727E-02  2.1821E-02
 0.8315656  3.6878  2.3800  1.6808 -0.843  0.070  0.733  0.496  0.992  1.625  2.141  2.255  2.338  2.988  4.4848E-02  3.0144E-02  2.0098E-02
 0.8315860  3.6869  2.4039  1.6536 -0.900  0.079  0.739  0.498  0.996  1.630  2.146  2.261  2.345  2.998  4.0704E-02  2.7357E-02  1.8239E-02
 0.8316063  3.6861  2.4276  1.6267 -0.958  0.086  0.745  0.501  0.999  1.634  2.151  2.267  2.352  3.006  3.8750E-02  2.6043E-02  1.7362E-02
 0.8316248  3.6853  2.4510  1.6003 -1.015  0.094  0.750  0.503  1.004  1.638  2.156  2.273  2.359  3.014  3.7463E-02  2.5176E-02  1.6783E-02
 0.8316438  3.6846  2.4742  1.5742 -1.072  0.101  0.755  0.505  1.007  1.641  2.160  2.278  2.364  3.021  3.7394E-02  2.5129E-02  1.6751E-02
 0.8316622  3.6839  2.4968  1.5485 -1.127  0.108  0.761  0.508  1.011  1.645  2.165  2.283  2.369  3.029  3.4788E-02  2.3376E-02  1.5582E-02
 0.8316786  3.6831  2.5190  1.5233 -1.180  0.114  0.766  0.511  1.015  1.649  2.170  2.289  2.375  3.038  3.1709E-02  2.1306E-02  1.4202E-02
 0.8316939  3.6823  2.5407  1.4984 -1.233  0.121  0.772  0.513  1.020  1.653  2.175  2.295  2.381  3.047  2.9137E-02  1.9577E-02  1.3049E-02
 0.8317077  3.6815  2.5618  1.4739 -1.283  0.128  0.779  0.517  1.025  1.659  2.181  2.303  2.389  3.057  2.7849E-02  1.8711E-02  1.2472E-02
 0.8317218  3.6807  2.5827  1.4498 -1.332  0.135  0.784  0.520  1.030  1.664  2.187  2.309  2.396  3.067  2.7108E-02  1.8212E-02  1.2139E-02
 0.8317348  3.6798  2.6031  1.4261 -1.380  0.142  0.789  0.524  1.036  1.669  2.193  2.317  2.404  3.077  2.5415E-02  1.7074E-02  1.1380E-02
 0.8317472  3.6790  2.6231  1.4027 -1.427  0.149  0.795  0.528  1.041  1.675  2.200  2.325  2.413  3.089  2.3882E-02  1.6044E-02  1.0693E-02
 0.8317587  3.6782  2.6428  1.3797 -1.473  0.157  0.801  0.531  1.047  1.681  2.207  2.333  2.421  3.099  2.2198E-02  1.4912E-02  9.9385E-03
 0.8317694  3.6774  2.6623  1.3570 -1.518  0.164  0.807  0.534  1.053  1.687  2.215  2.341  2.429  3.110  2.0608E-02  1.3844E-02  9.2262E-03
 0.8317793  3.6767  2.6818  1.3347 -1.564  0.172  0.813  0.537  1.057  1.693  2.221  2.349  2.437  3.121  1.9682E-02  1.3221E-02  8.8113E-03
 0.8317890  3.6759  2.7010  1.3126 -1.608  0.179  0.818  0.539  1.062  1.699  2.228  2.356  2.444  3.131  1.9225E-02  1.2914E-02  8.6059E-03
 0.8317985  3.6752  2.7199  1.2909 -1.652  0.187  0.824  0.542  1.067  1.705  2.236  2.364  2.452  3.141  1.8713E-02  1.2569E-02  8.3763E-03
 0.8318078  3.6745  2.7384  1.2695 -1.695  0.196  0.830  0.544  1.071  1.711  2.243  2.372  2.461  3.151  1.8070E-02  1.2137E-02  8.0883E-03
 0.8318166  3.6738  2.7566  1.2485 -1.737  0.204  0.836  0.546  1.075  1.718  2.251  2.380  2.470  3.161  1.6976E-02  1.1402E-02  7.5983E-03
 0.8318247  3.6731  2.7746  1.2277 -1.778  0.213  0.842  0.547  1.079  1.724  2.259  2.388  2.478  3.171  1.5865E-02  1.0656E-02  7.1007E-03
 0.8318325  3.6724  2.7925  1.2072 -1.821  0.221  0.847  0.549  1.081  1.731  2.267  2.396  2.486  3.180  1.5014E-02  1.0084E-02  6.7195E-03
 0.8318397  3.6718  2.8102  1.1869 -1.862  0.228  0.853  0.550  1.084  1.737  2.274  2.404  2.494  3.190  1.4183E-02  9.5258E-03  6.3476E-03
 0.8318467  3.6712  2.8276  1.1670 -1.903  0.236  0.859  0.552  1.086  1.744  2.282  2.412  2.502  3.199  1.3990E-02  9.3959E-03  6.2610E-03
 0.8318537  3.6706  2.8449  1.1473 -1.943  0.243  0.864  0.552  1.088  1.750  2.289  2.419  2.508  3.208  1.4080E-02  9.4562E-03  6.3011E-03
 0.8318607  3.6700  2.8619  1.1279 -1.983  0.251  0.868  0.552  1.090  1.756  2.297  2.426  2.516  3.216  1.3908E-02  9.3404E-03  6.2238E-03
 0.8318676  3.6694  2.8786  1.1088 -2.023  0.258  0.873  0.552  1.092  1.762  2.305  2.433  2.523  3.225  1.2713E-02  8.5377E-03  5.6889E-03
 0.8318735  3.6688  2.8951  1.0899 -2.061  0.266  0.878  0.553  1.093  1.768  2.312  2.440  2.531  3.234  1.1351E-02  7.6228E-03  5.0792E-03
 0.8318790  3.6682  2.9114  1.0713 -2.099  0.273  0.884  0.553  1.094  1.775  2.320  2.447  2.538  3.243  1.0968E-02  7.3657E-03  4.9078E-03
 0.8318844  3.6676  2.9274  1.0530 -2.136  0.280  0.889  0.553  1.095  1.781  2.327  2.454  2.546  3.252  1.0609E-02  7.1246E-03  4.7471E-03
 0.8318896  3.6670  2.9430  1.0349 -2.172  0.288  0.894  0.554  1.097  1.788  2.335  2.462  2.553  3.261  1.0368E-02  6.9621E-03  4.6388E-03
 0.8318948  3.6664  2.9585  1.0170 -2.208  0.296  0.900  0.554  1.098  1.794  2.343  2.470  2.561  3.270  1.0356E-02  6.9540E-03  4.6334E-03
 0.8319000  3.6658  2.9739  0.9994 -2.244  0.303  0.905  0.554  1.100  1.800  2.351  2.477  2.569  3.279  1.0094E-02  6.7783E-03  4.5163E-03
 0.8319049  3.6652  2.9890  0.9820 -2.279  0.310  0.910  0.554  1.102  1.807  2.359  2.484  2.576  3.288  9.8302E-03  6.6010E-03  4.3981E-03
 0.8319098  3.6647  3.0040  0.9649 -2.313  0.317  0.916  0.555  1.104  1.813  2.366  2.492  2.584  3.296  9.7222E-03  6.5284E-03  4.3496E-03
 0.8319146  3.6642  3.0187  0.9480 -2.347  0.324  0.922  0.556  1.106  1.820  2.373  2.499  2.592  3.305  9.5693E-03  6.4256E-03  4.2811E-03
 0.8319194  3.6636  3.0333  0.9313 -2.380  0.331  0.927  0.556  1.108  1.826  2.380  2.506  2.599  3.313  1.0148E-02  6.8142E-03  4.5400E-03
 0.8319248  3.6631  3.0476  0.9148 -2.412  0.338  0.932  0.558  1.111  1.833  2.388  2.514  2.607  3.322  1.1618E-02  7.8008E-03  5.1973E-03
 0.8319310  3.6625  3.0617  0.8986 -2.444  0.346  0.938  0.559  1.115  1.840  2.396  2.522  2.615  3.331  1.2363E-02  8.3008E-03  5.5303E-03
 0.8319371  3.6620  3.0755  0.8825 -2.476  0.353  0.943  0.561  1.118  1.846  2.403  2.529  2.622  3.340  1.2198E-02  8.1899E-03  5.4564E-03
 0.8319432  3.6615  3.0892  0.8667 -2.507  0.361  0.948  0.563  1.121  1.853  2.411  2.537  2.630  3.349  1.2444E-02  8.3551E-03  5.5664E-03
 0.8319496  3.6610  3.1028  0.8511 -2.537  0.368  0.954  0.565  1.125  1.859  2.418  2.544  2.638  3.358  1.3246E-02  8.8938E-03  5.9252E-03
 0.8319564  3.6605  3.1163  0.8357 -2.567  0.375  0.959  0.568  1.129  1.866  2.425  2.552  2.645  3.367  1.3633E-02  9.1535E-03  6.0981E-03
 0.8319632  3.6600  3.1296  0.8204 -2.596  0.381  0.965  0.570  1.134  1.872  2.433  2.560  2.653  3.376  1.3458E-02  9.0355E-03  6.0194E-03
 0.8319699  3.6595  3.1428  0.8054 -2.625  0.388  0.970  0.573  1.138  1.878  2.440  2.567  2.660  3.385  1.3217E-02  8.8736E-03  5.9115E-03
 0.8319764  3.6591  3.1557  0.7905 -2.654  0.395  0.976  0.576  1.143  1.884  2.447  2.575  2.668  3.394  1.2754E-02  8.5622E-03  5.7040E-03
 0.8319826  3.6586  3.1685  0.7759 -2.681  0.403  0.982  0.580  1.150  1.890  2.454  2.583  2.676  3.404  1.2366E-02  8.3021E-03  5.5306E-03
 0.8319888  3.6581  3.1811  0.7615 -2.708  0.410  0.989  0.584  1.156  1.897  2.460  2.590  2.684  3.413  1.2211E-02  8.1980E-03  5.4612E-03
 0.8319948  3.6577  3.1935  0.7473 -2.734  0.417  0.995  0.587  1.162  1.903  2.467  2.598  2.692  3.422  1.2059E-02  8.0957E-03  5.3930E-03
 0.8320008  3.6572  3.2058  0.7332 -2.760  0.424  1.001  0.591  1.168  1.910  2.474  2.605  2.699  3.431  5.9919E-03  4.0225E-03  2.6796E-03
