#Z=0.000039 Y=0.230077 OS=0.20 l/Hp=1.743201 [Fe/H]=   -3.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.4000000  3.6184 -1.4592  4.9248  8.917  0.404  1.055  0.649  1.323  1.946  2.367  2.567  2.771  3.451  1.2505E+01  4.6085E+01  1.0149E+02
 0.4125052  3.6266 -1.4080  4.9197  8.787  0.385  1.061  0.614  1.257  1.967  2.381  2.578  2.770  3.438  2.4930E+01  8.7070E+01  1.8468E+02
 0.4249303  3.6348 -1.3570  4.9145  8.654  0.365  1.063  0.587  1.201  1.974  2.384  2.577  2.761  3.420  2.4689E+01  8.0427E+01  1.6244E+02
 0.4371946  3.6431 -1.3063  4.9091  8.515  0.341  1.053  0.574  1.169  1.948  2.360  2.552  2.735  3.390  2.4485E+01  7.4588E+01  1.4372E+02
 0.4494152  3.6513 -1.2554  4.9029  8.364  0.310  1.031  0.564  1.140  1.903  2.318  2.507  2.696  3.347  2.4396E+01  6.9655E+01  1.2824E+02
 0.4615910  3.6595 -1.2044  4.8963  8.206  0.274  1.001  0.553  1.111  1.852  2.267  2.454  2.650  3.298  2.4183E+01  6.4850E+01  1.1425E+02
 0.4735979  3.6676 -1.1535  4.8890  8.035  0.213  0.954  0.525  1.055  1.782  2.193  2.371  2.559  3.193  2.3989E+01  6.0551E+01  1.0224E+02
 0.4855800  3.6757 -1.1027  4.8815  7.864  0.148  0.903  0.495  0.996  1.709  2.116  2.285  2.459  3.077  2.3907E+01  5.6904E+01  9.2202E+01
 0.4975045  3.6838 -1.0523  4.8740  7.699  0.080  0.846  0.469  0.945  1.630  2.037  2.194  2.351  2.955  2.5417E+01  5.7037E+01  8.8674E+01
 0.5109971  3.6916 -0.9987  4.8631  7.542  0.010  0.795  0.454  0.919  1.568  1.975  2.121  2.265  2.856  2.8046E+01  5.9139E+01  8.8014E+01
 0.5255500  3.6992 -0.9431  4.8503  7.394 -0.057  0.750  0.449  0.910  1.520  1.929  2.065  2.200  2.781  2.9407E+01  5.8103E+01  8.2609E+01
 0.5404045  3.7066 -0.8864  4.8354  7.251 -0.111  0.707  0.441  0.897  1.485  1.898  2.024  2.151  2.724  2.9683E+01  5.4948E+01  7.4630E+01
 0.5552327  3.7140 -0.8295  4.8198  7.105 -0.159  0.664  0.431  0.878  1.450  1.867  1.985  2.103  2.667  2.9646E+01  5.1496E+01  6.6884E+01
 0.5700503  3.7212 -0.7714  4.8019  6.961 -0.191  0.624  0.420  0.858  1.423  1.847  1.958  2.067  2.625  2.9447E+01  4.8088E+01  5.9809E+01
 0.5846796  3.7283 -0.7130  4.7828  6.810 -0.215  0.591  0.408  0.838  1.388  1.810  1.914  2.016  2.560  2.9031E+01  4.4669E+01  5.3281E+01
 0.5990810  3.7352 -0.6549  4.7632  6.652 -0.239  0.563  0.396  0.815  1.339  1.750  1.848  1.941  2.463  2.8786E+01  4.1821E+01  4.7912E+01
 0.6134652  3.7420 -0.5957  4.7414  6.488 -0.259  0.540  0.382  0.790  1.288  1.679  1.769  1.857  2.351  3.2057E+01  4.3910E+01  4.8270E+01
 0.6311382  3.7479 -0.5280  4.7099  6.308 -0.278  0.521  0.370  0.768  1.250  1.626  1.709  1.792  2.262  3.3317E+01  4.2905E+01  4.5166E+01
 0.6467820  3.7539 -0.4630  4.6792  6.138 -0.302  0.501  0.356  0.742  1.214  1.584  1.658  1.736  2.188  3.0038E+01  3.6491E+01  3.6870E+01
 0.6611764  3.7599 -0.4003  4.6501  5.973 -0.321  0.482  0.342  0.713  1.177  1.540  1.606  1.678  2.111  2.8230E+01  3.2543E+01  3.1693E+01
 0.6750118  3.7658 -0.3376  4.6199  5.809 -0.324  0.467  0.328  0.686  1.146  1.501  1.563  1.631  2.049  2.6949E+01  2.9594E+01  2.7854E+01
 0.6881250  3.7715 -0.2751  4.5889  5.647 -0.313  0.457  0.318  0.667  1.126  1.476  1.539  1.601  2.013  2.6030E+01  2.7309E+01  2.4892E+01
 0.7010421  3.7770 -0.2120  4.5559  5.484 -0.306  0.448  0.311  0.648  1.108  1.452  1.515  1.574  1.979  2.5086E+01  2.5204E+01  2.2286E+01
 0.7132109  3.7826 -0.1507  4.5243  5.321 -0.304  0.437  0.301  0.627  1.080  1.415  1.474  1.529  1.921  2.4975E+01  2.4070E+01  2.0671E+01
 0.7260174  3.7882 -0.0912  4.4949  5.160 -0.300  0.424  0.290  0.606  1.035  1.358  1.411  1.462  1.834  2.4143E+01  2.2353E+01  1.8662E+01
 0.7373535  3.7938 -0.0329  4.4657  4.997 -0.291  0.414  0.280  0.586  0.986  1.292  1.340  1.385  1.738  2.1899E+01  1.9539E+01  1.5895E+01
 0.7479169  3.7991  0.0265  4.4338  4.834 -0.278  0.404  0.271  0.566  0.941  1.231  1.276  1.316  1.650  2.0472E+01  1.7664E+01  1.4034E+01
 0.7578258  3.8042  0.0864  4.3999  4.674 -0.268  0.392  0.261  0.547  0.904  1.183  1.224  1.260  1.578  1.8990E+01  1.5888E+01  1.2353E+01
 0.7669070  3.8091  0.1463  4.3647  4.518 -0.263  0.382  0.252  0.528  0.873  1.138  1.179  1.210  1.513  1.7495E+01  1.4231E+01  1.0848E+01
 0.7753210  3.8136  0.2076  4.3264  4.357 -0.258  0.370  0.243  0.511  0.843  1.096  1.134  1.163  1.449  1.6250E+01  1.2883E+01  9.6447E+00
 0.7831572  3.8178  0.2700  4.2851  4.192 -0.246  0.362  0.236  0.495  0.813  1.053  1.090  1.115  1.388  1.5158E+01  1.1735E+01  8.6407E+00
 0.7904787  3.8214  0.3346  4.2388  4.021 -0.232  0.354  0.230  0.484  0.786  1.015  1.051  1.075  1.336  1.4019E+01  1.0620E+01  7.7008E+00
 0.7971767  3.8245  0.4005  4.1892  3.848 -0.217  0.348  0.225  0.475  0.763  0.981  1.017  1.039  1.291  1.3161E+01  9.7708E+00  6.9856E+00
 0.8036394  3.8268  0.4684  4.1339  3.671 -0.204  0.342  0.220  0.467  0.744  0.957  0.991  1.012  1.257  1.2545E+01  9.1393E+00  6.4481E+00
 0.8097213  3.8271  0.5384  4.0684  3.493 -0.196  0.340  0.218  0.465  0.740  0.950  0.986  1.007  1.250  1.0704E+01  7.6673E+00  5.3456E+00
 0.8143434  3.8240  0.6011  3.9957  3.339 -0.199  0.344  0.222  0.471  0.760  0.978  1.015  1.037  1.290  7.2521E+00  5.1275E+00  3.5424E+00
 0.8169733  3.8184  0.6455  3.9302  3.236 -0.211  0.353  0.231  0.486  0.799  1.031  1.070  1.097  1.366  4.0560E+00  2.8445E+00  1.9539E+00
 0.8183994  3.8121  0.6765  3.8749  3.170 -0.219  0.364  0.241  0.507  0.843  1.094  1.135  1.167  1.455  2.4229E+00  1.6913E+00  1.1580E+00
 0.8193962  3.8059  0.7006  3.8263  3.120 -0.224  0.377  0.253  0.531  0.885  1.153  1.197  1.234  1.542  1.7032E+00  1.1854E+00  8.0992E-01
 0.8201026  3.7997  0.7199  3.7825  3.080 -0.228  0.389  0.264  0.554  0.927  1.211  1.258  1.298  1.626  1.2948E+00  8.9926E-01  6.1348E-01
 0.8206911  3.7935  0.7369  3.7413  3.053 -0.240  0.401  0.275  0.577  0.976  1.276  1.327  1.372  1.720  1.0851E+00  7.5233E-01  5.1263E-01
 0.8211877  3.7875  0.7526  3.7017  3.031 -0.251  0.412  0.286  0.599  1.028  1.345  1.401  1.452  1.821  9.6595E-01  6.6872E-01  4.5519E-01
