#Z=0.000386 Y=0.230772 OS=0.20 l/Hp=1.743201 [Fe/H]=   -2.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.8061505  3.8073  0.4215  4.1042  3.807 -0.220  0.383  0.253  0.527  0.876  1.140  1.181  1.215  1.518  1.3820E+01  1.0002E+01  7.0241E+00
 0.8123943  3.8047  0.4877  4.0306  3.644 -0.218  0.388  0.258  0.536  0.894  1.164  1.207  1.243  1.554  9.9044E+00  7.0455E+00  4.8882E+00
 0.8160549  3.7994  0.5362  3.9629  3.532 -0.221  0.398  0.267  0.556  0.931  1.215  1.262  1.301  1.629  5.8225E+00  4.0950E+00  2.8185E+00
 0.8182167  3.7931  0.5704  3.9049  3.457 -0.225  0.410  0.279  0.579  0.975  1.275  1.324  1.369  1.716  3.6091E+00  2.5212E+00  1.7270E+00
 0.8196640  3.7867  0.5965  3.8540  3.405 -0.232  0.422  0.290  0.602  1.021  1.336  1.389  1.438  1.805  2.6185E+00  1.8210E+00  1.2435E+00
 0.8208352  3.7804  0.6194  3.8062  3.361 -0.238  0.435  0.301  0.627  1.065  1.392  1.450  1.505  1.889  2.1240E+00  1.4721E+00  1.0029E+00
 0.8217881  3.7740  0.6396  3.7613  3.322 -0.241  0.449  0.314  0.651  1.102  1.441  1.502  1.561  1.961  1.7993E+00  1.2435E+00  8.4548E-01
 0.8226345  3.7678  0.6587  3.7176  3.283 -0.242  0.464  0.326  0.675  1.132  1.481  1.544  1.606  2.021  1.6222E+00  1.1184E+00  7.5910E-01
 0.8234102  3.7617  0.6782  3.6742  3.242 -0.240  0.480  0.337  0.699  1.159  1.517  1.583  1.650  2.076  1.4989E+00  1.0311E+00  6.9875E-01
 0.8241333  3.7558  0.6991  3.6300  3.198 -0.233  0.498  0.349  0.723  1.189  1.558  1.626  1.696  2.138  1.4404E+00  9.8879E-01  6.6909E-01
 0.8248506  3.7502  0.7250  3.5823  3.140 -0.219  0.517  0.361  0.745  1.222  1.602  1.675  1.750  2.209  1.4261E+00  9.7698E-01  6.6015E-01
 0.8255594  3.7452  0.7569  3.5304  3.069 -0.201  0.536  0.371  0.765  1.256  1.646  1.725  1.803  2.280  1.4357E+00  9.8153E-01  6.6228E-01
