# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 20:54:27 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 9.00000 1.0764495134 2.4876210690    1.076  0.467  3.8953  4.536    1 3.602 4.181 3.676 3.707 3.805 3.899 3.933
9.8116e-05 -2.19174 9.00000 1.1000000238 2.4916803837    1.099  0.513  3.9051  4.538    1 3.487 4.056 3.544 3.605 3.720 3.821 3.856
9.8116e-05 -2.19174 9.00000 1.1206098795 2.4950721264    1.120  0.553  3.9135  4.540    1 3.388 3.950 3.433 3.521 3.650 3.757 3.792
9.8116e-05 -2.19174 9.00000 1.1499999762 2.4996678829    1.149  0.608  3.9252  4.543    1 3.250 3.806 3.284 3.408 3.556 3.669 3.705
9.8116e-05 -2.19174 9.00000 1.1560158730 2.5005755424    1.155  0.619  3.9275  4.544    1 3.222 3.778 3.255 3.385 3.538 3.652 3.688
9.8116e-05 -2.19174 9.00000 1.2000000477 2.5068950653    1.200  0.699  3.9441  4.546    1 3.023 3.584 3.062 3.240 3.415 3.536 3.574
9.8116e-05 -2.19174 9.00000 1.2176679373 2.5092861652    1.217  0.730  3.9505  4.547    1 2.944 3.509 2.991 3.186 3.369 3.492 3.530
9.8116e-05 -2.19174 9.00000 1.2500000000 2.5134611130    1.250  0.788  3.9621  4.548    1 2.801 3.373 2.869 3.089 3.285 3.413 3.453
9.8116e-05 -2.19174 9.00000 1.2987289429 2.5193042755    1.299  0.872  3.9790  4.547    1 2.589 3.174 2.700 2.951 3.163 3.297 3.340
9.8116e-05 -2.19174 9.00000 1.2999999523 2.5194499493    1.300  0.875  3.9795  4.547    1 2.583 3.169 2.696 2.947 3.160 3.294 3.337
