Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
11    1     SHE01       Draco267                    [BS61]_267                         *        *        DW    RG    17_19_44.73    57_57_37       *       *                   *       18.53   16.972  16.283  15.556  14.742  13.921  13.89   4180   0.6    -1.67 1.95    *     *     *    *    7.37 *    4.07 5.87 *    5.88 *    *    *    4.88  *     3.34  2.13  3.95  3.44  5.85  3.25  4.94  *     2.93 *     *     *     *     *    *     -0.16 *     *     *     *     *     *     *     *     *    *     0.87  *     0.07  *     -0.06 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
12    1     COH09       DracoXI-2                   [BSS2004]_Draco_J171917.5+580107.5 *        *        DW    RG    17_19_17.52    58_1_7.4       *       *                   *       18.173  16.84   *       15.35   *       *       *       4350   0.6    -1.99 2.4     *     *     5.76 *    6.71 *    3.27 5.18 *    5.34 *    *    *    4.07  0.72  3.05  *     3.1   2.78  5.46  2.78  3.89  *     2.55 *     *     *     *     *    -0.21 *     *     *     *     *     *     *     *     *     *    *     -0.98 *     *     *     *     *     -1.24 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
13    1     AOK09       S11-13                      [BTH2011]_165                      *        *        DW    RG    10_11_42.991   -2_3_50.52     224.71  2009A&A...502..569A *       *       17.53   *       16.38   15.491  14.771  14.71   4400   0.6    -2.8  2.4     *     *     *    *    *    *    3.28 4.68 *    *    *    *    *    3.58  0.14  1.97  *     2.22  *     4.69  *     3.52  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.93 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
14    1     KOC08       Her2                        [KCG2013]_Herc_308_205             *        *        UF    RG    16_30_57.24    12_47_20.3     *       *                   *       *       *       *       *       *       *       *       4270   0.69   -2.02 2.5     *     *     *    *    7.76 *    4.93 6.32 5.1  6.07 *    *    *    4.16  1.07  3.05  *     3.57  3.6   5.43  3.43  4.51  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.99 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
15    1     SHE03       Fnx12                       [KGS2010]_For_1                    *        *        DW    RG    2_40_10.016    -34_29_58.94   52.47   2010A&A...523A..17L *       19.76   18.2    18.06   16.75   15.937  15.198  14.977  4150   0      -1.6  2.1     *     *     *    *    7.21 *    4.22 6.07 *    6.24 *    *    *    4.99  1.39  3.24  *     4.04  3.44  5.92  3.47  4.53  *     2.76 *     *     *     *     *    *     0.07  *     *     *     *     *     *     *     *     *    *     0.48  -0.65 *     *     0     *     -0.83 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
16    1     KOC08       Her3                        [KMG2008]_Her-3                    *        *        UF    RG    16_31_22.95    12_44_48       41.73   2009A&A...506.1147A *       *       *       *       *       *       *       *       4340   0.91   -2.04 2.5     *     *     *    *    7.51 *    4.75 6.26 4.33 *    *    *    *    4.46  1.24  3.19  *     3.46  3.29  5.41  3.3   4.31  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.97 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
17    2     FRA16       BooII-15                    [KWK2009]_15                       *        *        UF    RG    13_57_51.184   12_51_36.91    2.33    2009ApJ...690..453K *       *       *       *       *       *       *       *       4980   2.6    -3    2.3     *     *     5.42 *    *    *    3.83 5.02 3.75 *    *    *    *    3.94  *     *     *     *     2.83  4.52  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
18    1     JI16b       J135751.2+125137.0          [KWK2009]_15                       *        *        UF    RG    13_57_51.184   12_51_36.91    2.33    2009ApJ...690..453K *       *       *       *       *       *       *       *       5102   2.2    -2.86 2       *     *     5.97 *    *    *    3.92 5.16 2.69 4.65 *    *    *    3.93  0.59  2.25  *     2.59  1.9   4.64  3.81  4.53  *     *    *     *     *     *     *    -1.89 *     *     *     *     *     *     *     *     *     *    *     -2.18 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      4.66  
19    2     FRA16       BooII-7                     [KWK2009]_7                        *        *        UF    RG    13_58_1.425    12_51_5.06     4.07    2009ApJ...690..453K *       *       *       *       *       *       *       *       4910   2.5    -3.1  2       *     *     5.18 *    *    *    *    4.77 3.65 *    *    *    *    3.51  *     *     *     *     2.33  4.42  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
20    1     JI16b       J135801.4+125105.2          [KWK2009]_7                        *        *        UF    RG    13_58_1.425    12_51_5.06     4.07    2009ApJ...690..453K *       *       *       *       *       *       *       *       5192   2.6    -2.87 1.65    *     *     6.06 *    *    *    3.67 4.99 4.28 5.64 *    *    *    3.83  0.78  2.47  *     2.56  3.06  4.63  3.03  4.34  *     *    *     *     *     *     *    -1.2  *     *     *     *     *     *     *     *     *     *    *     -1.99 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      4.63  
