Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
697   2     CAY04       CS22885-096                 2MASS_J20205117-3953301            *        *        *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   5050   2.6    -4    1.8     0.83  *     5    4.4  8.74 *    2.49 3.99 1.9  4.29 *    *    *    2.93  -0.24 1.56  *     1.41  1.07  3.69  1.62  2.47  *     1.26 *     *     *     *     *    -2.2  -1.54 -1.6  *     *     *     *     *     *     *     *    *     -2.75 -2.61 -2.2  -3.07 -2.28 -2.77 -3.27 -2.66 *     -2.64 -3.52 -2.85 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
698   2     MCW95       CS22885-096                 2MASS_J20205117-3953301            *        *        *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   4920   2.1    -3.5  2.15    *     *     5.1  *    *    *    2.43 4.24 1.87 4.44 *    *    *    3.15  -0.23 1.55  1.97  1.38  0.81  3.73  1.47  3.28  *     *    *     *     *     *     *    -2.25 *     *     *     *     *     *     *     *     *     *    *     -2.36 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
699   2     NOR01       CS22885-096                 2MASS_J20205117-3953301            *        NO       *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   5050   1.9    -3.66 1.9     *     *     5.61 *    *    *    *    4.44 2.03 4.33 *    *    *    2.98  -0.41 1.45  0.34  1.42  0.94  3.84  1.85  2.77  *     *    *     *     *     *     *    -2.35 -1.42 *     *     *     *     *     *     *     *     *    *     -2.97 *     *     *     *     *     -3.15 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
700   2     NOR02       CS22885-096                 2MASS_J20205117-3953301            *        CR       *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   5050   1.9    -3.66 *       *     *     5.61 *    5.87 *    *    *    *    *    *    *    *    *     *     *     *     *     *     3.84  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
701   1     ROE14b      CS22885-096                 2MASS_J20205117-3953301            R1       *        *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   4580   0.75   -4.21 1.75    0.52  *     4.62 5    6.73 *    2.05 4.03 1.37 3.98 *    *    *    2.59  -1.13 0.96  0.26  0.92  0.36  3.09  0.88  1.87  *     1.32 *     *     *     *     *    -3.29 -2.95 -1.56 -0.2  -0.77 *     *     *     *     *     *    *     -3.87 -2.71 -1.96 -2.46 -2.23 -2.05 -3.21 -1.64 -2.31 -2.31 -2.63 -2.26 -2.54 -3.25 *     -1.45 *     *     *     *     *     *    0.23  *     -2.49 *     *      0.68   0.26  *      0.57   3.29  
702   2     RYA96       CS22885-096                 2MASS_J20205117-3953301            R1       *        *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   5050   2      -3.6  1.8     *     *     *    *    *    *    *    4.55 2.06 4.49 *    *    *    3.22  -0.33 1.55  *     1.44  0.97  3.9   1.6   2.59  *     *    *     *     *     *     *    -2.24 *     *     *     *     *     *     *     *     *     *    *     -2.21 *     *     *     *     *     -2.09 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
703   2     SPI12       CS22885-096                 2MASS_J20205117-3953301            *        *        *     RG    20_20_51.17    -39_53_30.2    -249.1  2014AJ....147..136R *       14.02   13.33   12.3    *       11.63   11.163  11.09   5050   2.6    -3.78 1.8     *     *     *    *    *    *    *    *    *    *    *    *    *    3.1   *     *     *     *     *     3.72  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
704   2     CAR02       CS22950-046                 2MASS_J20212839-1316336            *        *        *     RG    20_21_28.396   -13_16_33.61   106.7   2013ApJ...778...56C *       15.13   14.224  13.639  13.066  12.25   11.685  11.583  4730   1.3    -3.3  2.02    *     *     *    *    *    *    *    4.75 2.68 4.77 *    *    *    3.34  0.13  1.93  *     1.82  1.19  4.23  *     *     *     *    *     *     *     *     *    -0.65 *     *     *     *     *     *     *     *     *     *    *     -2.51 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
705   2     MCW95       CS22950-046                 2MASS_J20212839-1316336            *        *        *     RG    20_21_28.396   -13_16_33.61   106.7   2013ApJ...778...56C *       15.13   14.224  13.639  13.066  12.25   11.685  11.583  4640   0.85   -3.5  2.68    *     *     5.1  *    *    *    2.66 4.56 2.66 4.57 *    *    *    3.4   -0.47 1.71  2.01  1.55  1.2   4.12  1.85  3.11  *     *    *     *     *     *     *    -1.13 -1.71 *     *     *     *     *     *     *     *     *    *     -2.8  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
706   1     ROE14b      CS22950-046                 2MASS_J20212839-1316336            *        *        *     RG    20_21_28.396   -13_16_33.61   106.7   2013ApJ...778...56C *       15.13   14.224  13.639  13.066  12.25   11.685  11.583  4380   0.5    -3.64 1.8     -0.05 *     4.92 4.84 6.96 *    *    4.06 1.7  4.47 *    *    1.5  2.71  -0.6  0.82  *     1.19  0.6   3.38  0.89  2.18  *     1.33 *     *     *     *     *    -1.15 -2.3  -1.39 -0.19 -1.15 *     *     *     *     *     0.45 *     -2.95 *     -2.19 -2.46 -1.86 -2.18 -3.37 -1.69 -2.34 -2.06 -2.65 -2.28 -2.55 -3.38 *     -1.53 *     *     *     *     *     *    -0.1  *     -2.37 *     *      1.23   *     *      *      3.86  
707   1     PRE00       CS22950-078                 2MASS_J20245779-1629577            *        *        *     SG    20_24_57.8     -16_29_57.7    14      1992AJ....103.1987B *       15.03   14.62   *       *       13.59   13.254  13.191  6900   4      -1.86 1.75    *     *     *    *    *    *    *    6    *    *    *    *    *    4.91  1.01  3.32  *     3.64  3.34  5.66  *     *     *     *    *     *     *     *     *    0.7   *     *     *     *     *     *     *     *     *     *    *     -0.23 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
708   1     ROE14b      CS22943-137                 2MASS_J20262899-4300426            R2       *        *     RG    20_26_28.997   -43_0_42.7     -20     1992AJ....103.1987B 14.67   15      14.47   *       *       13.283  12.907  12.931  5400   3.1    -3.39 1.2     1.89  *     5.43 6.9  6.88 *    *    4.69 2.43 4.37 *    *    *    2.85  -0.52 1.47  1.35  1.61  1.82  3.86  1.76  3     *     2.2  1.17  *     *     *     2.56 -2.39 -1.22 -0.15 1.23  0.52  *     *     *     *     *     *    *     -2.11 -1.23 -0.43 -0.93 -0.85 -0.62 -1.64 -0.17 -0.77 -0.88 -0.94 -0.69 -0.86 -1.34 *     0.12  *     *     *     *     *     *    1.31  *     -0.91 *     *      1.47   1.35  *      2.27   4.11  
709   2     RYA96       CS22943-137                 2MASS_J20262899-4300426            *        *        *     SG    20_26_28.997   -43_0_42.7     -20     1992AJ....103.1987B 14.67   15      14.47   *       *       13.283  12.907  12.931  5650   3.5    -3.22 1.3     *     *     *    *    *    *    *    5.01 2.61 4.6  *    *    *    3.15  -0.18 1.95  *     2.06  1.71  4.28  2.46  3.53  *     *    *     *     *     *     *    -1.75 -1.22 *     *     *     *     *     *     *     *     *    *     -1.52 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
710   1     LAI07       CS22950-153                 2MASS_J20323450-1547579            *        *        *     RG    20_32_34.5     -15_47_57.9    -161    1992AJ....103.1987B *       14.3    13.74   *       *       12.419  12.072  12.037  5293   3.02   -2.1  *       *     *     6.31 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.4   *     *     *     *    *     *     *     *     *    1.05  *     *     *     *     *     *     *     *     *     *    *     -0.22 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
711   1     PRE00       CS22950-173                 2MASS_J20353125-1553306            *        *        *     MS    20_35_31.26    -15_53_30.6    60      1992AJ....103.1987B *       14.45   14.04   *       *       12.984  12.703  12.664  6800   4.5    -2.5  1.75    *     *     *    *    *    *    *    5.46 *    *    *    *    *    4.04  0.59  3.02  *     3.09  2.89  5.02  *     *     *     *    *     *     *     *     *    -0.36 *     *     *     *     *     *     *     *     *     *    *     -0.41 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
712   1     PRE00       CS22880-058                 2MASS_J20435597-2136325            *        *        *     SG    20_43_55.98    -21_36_32.5    -41     1992AJ....103.1987B *       14.91   14.54   14.5    *       13.565  13.3    13.253  7150   3.9    -1.85 2       *     *     *    *    *    *    *    5.64 *    *    *    *    *    4.59  *     3.22  *     3.75  3.54  5.67  *     *     *     *    *     *     *     *     *    0.32  *     *     *     *     *     *     *     *     *     *    *     -0.16 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
713   2     LAI08       CS30336-049                 2MASS_J20452353-2842359            R1       *        *     RG    20_45_23.531   -28_42_35.91   -236.6  2013ApJ...762...25N *       14.89   14.03   13.328  12.844  12.112  11.641  11.545  4827   1.51   -3.95 2.3     *     *     4.2  4.8  5.8  *    *    3.62 *    3.7  *    *    *    2.41  -0.81 1.13  *     0.89  0.53  3.47  1.35  2.16  *     *    *     *     *     *     *    -2.69 *     *     *     *     *     *     *     *     *     *    *     -3.35 *     *     *     *     *     -2.7  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
714   1     YON13       CS30336-049                 2MASS_J20452353-2842359            *        *        *     RG    20_45_23.531   -28_42_35.91   -236.6  2013ApJ...762...25N *       14.89   14.03   13.328  12.844  12.112  11.641  11.545  4725   1.19   -4.1  2.1     *     *     4.56 4.7  *    *    2.13 3.64 1.58 3.84 *    *    *    2.46  -0.98 1.02  *     1.06  0.42  3.4   1.27  2.22  *     *    *     *     *     *     *    -2.86 *     *     *     *     *     *     *     *     *     *    *     -3.47 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      3.4   
715   1     BAR05       CS30308-035                 2MASS_J20455414-4450293            *        *        *     RG    20_45_54.149   -44_50_29.3    -51.8   2005A&A...439..129B *       14.66   13.95   13.343  12.807  12.333  11.838  11.8    4806   1.78   -3.35 1.64    *     *     5.08 *    *    *    *    4.24 2.1  *    *    *    *    3.12  -0.28 1.67  *     1.78  1.39  4.15  1.73  3.15  *     *    *     *     *     *     *    -1.19 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
716   2     AOK02a      CS22880-074                 2MASS_J20460321-2059141            S        *        *     SG    20_46_3.217    -20_59_14.18   97      1992AJ....103.1987B *       13.84   13.27   12.77   12.382  11.99   11.687  11.636  5850   3.8    -1.93 1.4     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.57  *     *     *     *    *     *     *     *     *    1.38  0.46  *     *     *     *     *     *     *     *     *    *     1.6   0.36  0.92  *     0.76  *     -0.8  *     *     -0.16 *     0.45  *     *     *     *     *     *     *     *     *     *    2     *     *     *     *      *      *     *      *      *     
717   1     PRE01       CS22880-074                 2MASS_J20460321-2059141            S        CR       *     SG    20_46_3.217    -20_59_14.18   97      1992AJ....103.1987B *       13.84   13.27   12.77   12.382  11.99   11.687  11.636  6050   4      -1.8  1.9     *     *     8.25 6.34 *    *    4.38 5.86 *    *    *    *    *    4.78  *     3.34  *     *     *     5.72  *     *     *     *    *     *     *     *     *    1.33  1.06  1.55  *     *     *     *     *     *     *     *    *     1.69  0.63  *     *     *     *     -0.72 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
718   1     AOK08       SDSS2047+00                 2MASS_J20472884+0015538            *        *        *     MS    20_47_28.84    0_15_53.8      -50.05  2008AJ....136.2070A *       *       *       *       *       15.188  14.791  14.88   6600   4.5    -2.1  1.3     2.3   *     *    *    *    *    4.45 5.75 *    *    *    *    *    4.59  *     3.29  *     3.49  *     5.4   *     4.26  *     *    *     *     *     *     *    1.56  0.95  1.5   *     *     *     *     *     *     *     *    *     1.62  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
719   1     RYA96       CS30308-062                 2MASS_J20510525-4410442            R2       *        *     SG    20_51_5.25     -44_10_44.2    *       *                   *       14.28   13.87   *       *       12.863  12.609  12.57   5950   3.6    -2.92 1       *     *     *    *    *    *    *    5.09 2.4  4.79 *    *    *    3.78  0.02  2.33  *     2.3   1.9   4.58  2.32  3.44  *     *    *     *     *     *     *    -0.7  -0.72 *     *     *     *     *     *     *     *     *    *     -1.26 *     *     *     *     *     -0.69 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
720   2     AOK02b      CS30314-067                 2MASS_J20525098-3419405            *        *        *     RG    20_52_50.986   -34_19_40.52   145.6   2014AJ....147..136R *       12.98   11.85   11.175  10.583  9.759   9.175   9.028   4400   0.7    -2.85 2.5     0.6   *     6.17 6.27 *    *    3.4  5.15 3.52 5.5  *    *    *    3.73  0.34  2.6   *     2.44  1.85  4.65  1.99  3.3   *     *    *     *     *     *     *    -0.25 -1.28 0.09  *     *     *     *     *     *     *     *    *     -1.29 *     *     *     *     *     -2.34 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
721   2     ROE14a      CS30314-067                 2MASS_J20525098-3419405            RS       NO       *     RG    20_52_50.986   -34_19_40.52   145.6   2014AJ....147..136R *       12.98   11.85   11.175  10.583  9.759   9.175   9.028   4320   0.5    -3.01 1.85    -0.41 *     5.97 6    6.49 *    *    4.85 3.02 5.25 *    *    2    3.48  0.01  1.68  0.83  2.06  1.54  4.19  1.13  2.97  0.27  1.88 *     *     *     *     1.22 -0.5  -1.63 -0.52 *     *     *     *     *     *     *     *    *     -1.38 -2.6  -2.06 -2.25 -2.01 -2.55 -3.11 -1.95 -2.42 -2.73 *     -2.4  -2.06 -3.05 *     -1.57 *     *     *     *     *     *    0.3   *     *     *     *      2.21   0.83  2.8    1.45   4.49  
722   1     ROE14b      CS30314-067                 2MASS_J20525098-3419405            RS       NO       *     RG    20_52_50.986   -34_19_40.52   145.6   2014AJ....147..136R *       12.98   11.85   11.175  10.583  9.759   9.175   9.028   4320   0.5    -3.01 1.85    -0.41 *     5.97 6    6.49 *    *    4.85 3.02 5.25 *    *    2    3.48  0.01  1.68  0.83  2.06  1.54  4.19  1.13  2.97  0.27  1.88 *     *     *     *     1.22 -0.5  -1.63 -0.52 *     *     *     *     *     *     *     *    *     -1.38 -2.6  -2.06 -2.25 -2.01 -2.55 -3.11 -1.95 -2.42 -2.73 *     -2.4  -2.06 -3.05 *     -1.57 *     *     *     *     *     *    0.3   *     *     *     *      2.21   0.83  2.8    1.45   4.49  
723   2     AND09       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4900   1.7    -3.41 2       *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.09  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -2.28 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
724   2     AND10       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4900   1.7    -3.41 2       *     *     *    *    *    *    *    4.54 *    *    *    *    2.2  *     *     *     *     *     *     4.09  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
725   2     CAY04       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4900   1.7    -3.5  2       0.9   *     5.67 4.75 8.74 *    2.76 4.43 2.33 4.55 *    *    *    3.24  -0.22 1.79  *     1.88  1.76  4.08  1.93  2.91  *     1.86 *     *     *     *     *    0     -1.05 -0.31 *     *     *     *     *     *     *     *    *     -2.28 -2.24 -1.83 -2.7  -1.9  -2.4  -2.9  -2.29 *     -2.27 -3.15 -2.48 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
726   2     MCW95       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4790   1.5    -3.4  2.16    *     *     5.55 *    *    *    2.87 4.52 2.58 4.43 *    *    *    3.4   -0.26 2.01  *     1.92  1.25  4.17  2.14  3.67  *     *    *     *     *     *     *    0.19  -1.16 *     *     *     *     *     *     *     *     *    *     -2.49 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
727   1     ROE14b      CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4550   0.7    -3.73 1.7     0.77  *     5.2  4.05 6.72 *    2.36 4.37 1.85 *    *    *    1.57 2.95  -0.71 1.37  0.26  1.63  1.14  3.67  1.31  2.66  *     1.69 *     *     *     *     1.71 -0.29 -1.6  -0.72 -0.07 -0.56 *     *     *     *     *     0.86 *     -2.82 -2.59 -1.95 -2.32 -2.28 -2.07 -3.34 -1.59 -2.28 -2.27 *     -2.16 -2.56 -3.73 *     -1.4  *     *     -0.89 *     *     *    0.38  *     -2.33 *     *      1.37   0.26  2.19   1.28   3.77  
728   2     RYA96       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4850   1.8    -3.19 1.7     *     *     *    *    *    *    *    4.5  2.47 4.96 *    *    *    3.26  -0.11 2.03  *     1.91  1.65  4.16  2.24  3.5   *     *    *     *     *     *     *    -0.84 -0.68 *     *     *     *     *     *     *     *     *    *     -2.38 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
729   2     RYA96       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4850   1.8    -3.34 2       *     *     *    *    *    *    *    4.8  2.67 5.03 *    *    *    3.24  0.04  2.18  *     1.99  1.65  4.31  2.31  3.68  *     *    *     *     *     *     *    0.04  -0.62 *     *     *     *     *     *     *     *     *    *     -2.37 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
730   2     SPI11       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4900   1.7    -3.41 2       *     *     *    *    *    *    *    *    *    *    *    4.35 *    *     *     *     *     *     *     4.09  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
731   2     SPI12       CS22897-008                 2MASS_J21031185-6505088            *        *        *     RG    21_3_11.857    -65_5_8.85     260     1992AJ....103.1987B *       14.02   13.33   *       *       11.596  11.089  11.002  4900   1.7    -3.41 2       *     *     *    *    *    *    *    *    *    *    *    *    *    3.45  *     *     *     *     *     4.09  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
732   2     AOK02       CS29498-043                 2MASS_J21035211-2942502            *        CR       *     RG    21_3_52.113    -29_42_50.24   -32.6   2002PASJ...54..933A *       14.8    13.72   13.013  12.406  11.621  11.108  10.938  4400   0.6    -3.75 2.3     *     *     6.7  6.5  *    *    *    5.64 3.08 4.88 *    *    *    2.71  -0.52 1.51  *     1.62  1.1   3.75  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
733   2     AOK02d      CS29498-043                 2MASS_J21035211-2942502            *        NO       *     RG    21_3_52.113    -29_42_50.24   -32.6   2002PASJ...54..933A *       14.8    13.72   13.013  12.406  11.621  11.108  10.938  4400   0.6    -3.75 2.3     *     *     6.67 6.47 *    *    *    5.64 3.06 4.87 *    *    *    2.72  *     1.59  *     1.6   0.96  3.75  *     *     *     *    *     *     *     *     *    -1.18 *     *     *     *     *     *     *     *     *     *    *     -1.98 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
734   2     ROE14a      CS29498-043                 2MASS_J21035211-2942502            *        NO       *     RG    21_3_52.113    -29_42_50.24   -32.6   2002PASJ...54..933A *       14.8    13.72   13.013  12.406  11.621  11.108  10.938  4440   0.5    -3.85 1.75    -0.05 *     7.31 5.7  7.19 *    3.4  5.51 3.33 4.72 *    *    1.61 3     -0.77 1.18  *     1.48  1.11  3.63  0.86  2.3   *     1.24 *     *     *     *     1.31 -0.9  -1.9  *     *     *     *     *     *     *     *     *    *     -2.18 -3.02 -2.13 -2.21 -1.75 -2.03 -3.12 *     -2.07 -1.75 *     -1.88 -1.75 -3.4  *     -1.56 *     *     *     *     *     *    0.67  *     *     *     *      1.38   *     *      *      3.65  
735   1     ROE14b      CS29498-043                 2MASS_J21035211-2942502            *        NO       *     RG    21_3_52.113    -29_42_50.24   -32.6   2002PASJ...54..933A *       14.8    13.72   13.013  12.406  11.621  11.108  10.938  4440   0.5    -3.85 1.75    -0.05 *     7.31 5.7  7.19 *    3.4  5.51 3.33 4.72 *    *    1.61 3     -0.77 1.18  *     1.48  1.11  3.63  0.86  2.3   *     1.24 *     *     *     *     1.31 -0.9  -1.9  *     *     *     *     *     *     *     *     *    *     -2.18 -3.02 -2.13 -2.21 -1.75 -2.03 -3.12 *     -2.07 -1.75 *     -1.88 -1.75 -3.4  *     -1.56 *     *     *     *     *     *    0.67  *     *     *     *      1.38   *     *      *      3.65  
736   2     ALL12       CS22898-027                 2MASS_J21054509-1836574            RS       CR       *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  6240   3.72   -2.3  1.4     *     *     8.59 6.91 *    *    *    *    *    *    *    *    *    *     *     3.04  *     *     *     5.2   *     *     *     2.84 *     *     *     *     *    1.26  0.54  1.58  *     *     *     *     *     *     *     *    *     2.09  1.06  *     *     *     *     0.12  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    2.54  *     *     *     *      3.04   *     *      *      *     
737   2     AOK02a      CS22898-027                 2MASS_J21054509-1836574            RS       *        *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  6250   3.7    -2.25 1.5     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.25  *     *     *     *    *     *     *     *     *    1.59  0.71  1.37  *     *     *     *     *     *     *     *    *     2.2   1.1   1.51  *     1.47  0.82  0.18  *     *     0.7   *     1.12  *     *     *     *     *     *     *     *     *     *    2.6   *     *     *     *      *      *     *      *      *     
738   2     LAI07       CS22898-027                 2MASS_J21054509-1836574            *        CR       *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  5750   3.58   -2.29 *       *     *     7.72 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.21  *     *     *     *    *     *     *     *     *    1.73  *     *     *     *     *     *     *     *     *     *    *     2     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
739   2     MAS12       CS22898-027                 2MASS_J21054509-1836574            S        CR       *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  6000   3.5    -2.49 1.4     2.18  *     8    6.75 *    *    4.05 5.45 *    *    *    *    *    *     *     *     *     *     *     4.96  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     2.2   *     *     *     *     *     -0.1  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
740   1     MCW95       CS22898-027                 2MASS_J21054509-1836574            RS       CR       *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  6000   3.6    -2.2  1.42    *     *     8.1  *    *    *    4.44 5.31 3.64 *    *    *    *    4.37  0.98  3.15  *     2.89  2.42  5.16  2.76  4.42  *     *    *     *     *     *     *    1.51  *     *     *     *     *     *     *     *     *     *    *     2.33  1.36  1.27  *     1.38  *     0.19  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
741   2     PRE01       CS22898-027                 2MASS_J21054509-1836574            RS       CR       *     SG    21_5_45.09     -18_36_57.47   -64     1992AJ....103.1987B *       13.26   12.76   12.476  12.094  11.719  11.503  11.421  6300   4      -2    2       *     *     8.3  6.95 *    *    4.33 5.54 *    *    *    *    *    *     *     3.08  *     *     *     5.33  *     *     *     *    *     *     *     *     *    1.4   1.02  1.82  *     *     *     *     *     *     *     *    *     2.23  1.28  *     *     1.33  *     0.28  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
