|        Star | [Fe/H] | e_fe | NFe | fe2_h | e_fe2 | NFe2 | [Na/H] | e_na | Nna | [Mg/H] | e_mg | NMg | [Si/H] | e_si | NSi | [Ca/H] | e_ca | NCa | [Sc/H] | e_sc | NSc | [TiI/H] | e_ti1 | NTi1 | [Ti/H] | e_ti | NTi | [Cr/H] | e_cr | NCr | [Ni/H] | e_ni | NNi | [Y/H] |  e_y | NY | [Ba/H] | e_ba | NBa | [La/H] | e_la | NLa | [Nd/H] | e_nd | NNd | [Eu/H] | e_eu | NEu | [Na/Fe] | [Mg/Fe] | [Si/Fe] | [Ca/Fe] | [Sc/Fe] | [Ti/Fe] | [Cr/Fe] | [Ni/Fe] | [Y/Fe] | [Ba/Fe] | [La/Fe] | [Nd/Fe] | [Eu/Fe] |
| Fnx-mem0598 |  -0.85 | 0.02 |  45 | -0.68 |  0.20 |    2 |  -1.82 | 0.15 |   1 |  -0.98 | 0.15 |   1 |  -0.77 | 0.11 |   2 |  -1.31 | 0.06 |   7 |        |      |     |   -1.39 |  0.06 |    8 |  -0.82 | 0.11 |   2 |  -1.61 | 0.15 |   1 |  -1.25 | 0.06 |   7 |       |      |    |  -0.65 | 0.15 |   1 |  -1.15 | 0.11 |   2 |  -0.76 | 0.11 |   2 |  -0.78 | 0.15 |   1 |   -0.97 |   -0.13 |    0.08 |   -0.46 |         |    0.03 |   -0.76 |   -0.40 |        |    0.20 |   -0.30 |    0.09 |    0.07 |
| Fnx-mem0604 |  -0.74 | 0.02 |  32 | -0.53 |  0.23 |    3 |  -1.44 | 0.10 |   1 |  -0.80 | 0.10 |   1 |        |      |     |  -1.19 | 0.08 |   8 |        |      |     |   -1.30 |  0.06 |    9 |  -0.88 | 0.11 |   2 |  -1.33 | 0.12 |   1 |  -1.23 | 0.06 |   3 |       |      |    |  -0.43 | 0.10 |   1 |  -0.56 | 0.10 |   1 |  -0.76 | 0.21 |   2 |  -0.65 | 0.10 |   1 |   -0.70 |   -0.06 |         |   -0.45 |         |   -0.14 |   -0.59 |   -0.49 |        |    0.31 |    0.18 |   -0.02 |    0.09 |
| Fnx-mem0606 |  -0.62 | 0.03 |  51 | -0.17 |  0.12 |    4 |  -1.93 | 0.23 |   1 |  -0.79 | 0.23 |   1 |  -0.61 | 0.16 |   2 |  -0.82 | 0.12 |   4 |        |      |     |   -1.56 |  0.12 |    4 |  -0.74 | 0.18 |   2 |  -0.84 | 0.23 |   1 |  -0.97 | 0.07 |  11 |       |      |    |  -0.24 | 0.23 |   1 |  -0.81 | 0.23 |   1 |  -0.45 | 0.16 |   2 |  -0.57 | 0.23 |   1 |   -1.31 |   -0.17 |    0.01 |   -0.20 |         |   -0.12 |   -0.22 |   -0.35 |        |    0.38 |   -0.19 |    0.17 |    0.05 |
| Fnx-mem0607 |  -0.96 | 0.02 |  41 | -0.68 |  0.09 |    6 |  -1.76 | 0.10 |   1 |  -0.82 | 0.10 |   1 |  -0.76 | 0.19 |   2 |  -1.25 | 0.05 |   8 |  -1.37 | 0.10 |   1 |   -1.44 |  0.04 |    7 |  -0.91 | 0.08 |   3 |  -1.47 | 0.10 |   1 |  -1.23 | 0.04 |   9 |       |      |    |        |      |     |  -0.66 | 0.07 |   2 |  -0.39 | 0.10 |   1 |  -0.46 | 0.10 |   1 |   -0.80 |    0.14 |    0.20 |   -0.29 |   -0.41 |    0.05 |   -0.51 |   -0.27 |        |         |    0.30 |    0.57 |    0.50 |
| Fnx-mem0612 |  -1.68 | 0.04 |  25 | -0.64 |  0.21 |    1 |        |      |     |  -1.44 | 0.21 |   1 |        |      |     |  -1.81 | 0.07 |   8 |        |      |     |   -1.92 |  0.12 |    3 |  -1.52 | 0.38 |   2 |        |      |     |  -1.54 | 0.12 |   4 |       |      |    |  -1.97 | 0.21 |   1 |        |      |     |        |      |     |  -0.75 | 0.21 |   1 |         |    0.24 |         |   -0.13 |         |    0.16 |         |    0.14 |        |   -0.29 |         |         |    0.93 |
| Fnx-mem0613 |  -0.44 | 0.03 |  44 |  0.06 |  0.19 |    1 |        |      |     |  -0.54 | 0.19 |   1 |        |      |     |  -0.78 | 0.08 |   5 |  -0.53 | 0.19 |   1 |   -0.79 |  0.12 |    7 |  -0.46 | 0.13 |   2 |  -0.38 | 0.19 |   1 |  -0.55 | 0.10 |  10 |       |      |    |  -0.11 | 0.19 |   1 |  -0.27 | 0.13 |   2 |  -0.26 | 0.13 |   2 |        |      |     |         |   -0.10 |         |   -0.34 |   -0.09 |   -0.02 |    0.06 |   -0.11 |        |    0.33 |    0.17 |    0.18 |         |
| Fnx-mem0626 |  -1.00 | 0.03 |  47 | -0.53 |  0.10 |    4 |        |      |     |  -0.97 | 0.21 |   1 |  -0.62 | 0.21 |   1 |  -1.19 | 0.06 |  11 |        |      |     |   -1.27 |  0.07 |    8 |  -0.83 | 0.12 |   3 |  -1.31 | 0.21 |   1 |  -1.26 | 0.09 |   6 |       |      |    |  -0.44 | 0.15 |   2 |  -0.69 | 0.15 |   2 |  -0.29 | 0.21 |   1 |        |      |     |         |    0.03 |    0.38 |   -0.19 |         |    0.17 |   -0.31 |   -0.26 |        |    0.56 |    0.31 |    0.71 |         |
| Fnx-mem0629 |  -1.02 | 0.02 |  27 | -0.31 |  0.32 |    3 |        |      |     |  -0.84 | 0.08 |   2 |  -0.89 | 0.11 |   1 |  -1.18 | 0.08 |  12 |  -0.88 | 0.11 |   1 |   -1.39 |  0.05 |    6 |  -0.68 | 0.08 |   2 |  -1.37 | 0.14 |   1 |  -1.08 | 0.04 |   8 | -0.92 | 0.11 |  1 |  -0.81 | 0.08 |   2 |  -0.66 | 0.33 |   2 |        |      |     |  -0.57 | 0.11 |   1 |         |    0.18 |    0.13 |   -0.16 |    0.14 |    0.34 |   -0.35 |   -0.06 |   0.10 |    0.21 |    0.36 |         |    0.45 |
| Fnx-mem0631 |  -0.82 | 0.02 |  40 | -0.44 |  0.10 |    3 |  -1.47 | 0.15 |   1 |  -1.02 | 0.15 |   1 |  -0.87 | 0.15 |   1 |  -1.19 | 0.07 |   5 |        |      |     |   -1.30 |  0.06 |    6 |  -1.00 | 0.11 |   2 |        |      |     |  -1.04 | 0.05 |   9 |       |      |    |  -0.27 | 0.15 |   1 |  -0.67 | 0.11 |   2 |  -0.51 | 0.25 |   2 |  -0.26 | 0.15 |   1 |   -0.65 |   -0.20 |   -0.05 |   -0.37 |         |   -0.18 |         |   -0.22 |        |    0.55 |    0.15 |    0.31 |    0.56 |
| Fnx-mem0633 |  -0.92 | 0.02 |  44 | -0.52 |  0.10 |    7 |        |      |     |  -1.26 | 0.11 |   1 |  -0.97 | 0.11 |   2 |  -1.43 | 0.07 |   9 |        |      |     |   -1.55 |  0.05 |    5 |  -0.85 | 0.11 |   1 |  -1.58 | 0.11 |   1 |  -1.32 | 0.04 |  10 |       |      |    |  -0.93 | 0.11 |   1 |  -1.12 | 0.08 |   2 |  -0.73 | 0.11 |   1 |  -1.02 | 0.11 |   1 |         |   -0.34 |   -0.05 |   -0.51 |         |    0.07 |   -0.66 |   -0.40 |        |   -0.01 |   -0.20 |    0.19 |   -0.10 |
