|        Star | [Fe/H] | e_fe | NFe | fe2_h | e_fe2 | NFe2 | [Na/H] | e_na | Nna | [Mg/H] | e_mg | NMg | [Si/H] | e_si | NSi | [Ca/H] | e_ca | NCa | [Sc/H] | e_sc | NSc | [TiI/H] | e_ti1 | NTi1 | [Ti/H] | e_ti | NTi | [Cr/H] | e_cr | NCr | [Ni/H] | e_ni | NNi | [Y/H] |  e_y | NY | [Ba/H] | e_ba | NBa | [La/H] | e_la | NLa | [Nd/H] | e_nd | NNd | [Eu/H] | e_eu | NEu | [Na/Fe] | [Mg/Fe] | [Si/Fe] | [Ca/Fe] | [Sc/Fe] | [Ti/Fe] | [Cr/Fe] | [Ni/Fe] | [Y/Fe] | [Ba/Fe] | [La/Fe] | [Nd/Fe] | [Eu/Fe] |
| Fnx-mem0732 |  -2.40 | 0.02 |  31 | -1.57 |  0.08 |    3 |        |      |     |  -1.78 | 0.13 |   1 |        |      |     |  -1.97 | 0.07 |   8 |        |      |     |   -2.49 |  0.13 |    1 |  -1.75 | 0.13 |   1 |  -2.44 | 0.09 |   2 |  -2.37 | 0.06 |   5 |       |      |    |  -2.02 | 0.13 |   1 |        |      |     |        |      |     |        |      |     |         |    0.62 |         |    0.43 |         |    0.65 |   -0.04 |    0.03 |        |    0.38 |         |         |         |
| Fnx-mem0747 |  -1.39 | 0.02 |  26 | -0.87 |  0.12 |    3 |        |      |     |  -1.35 | 0.08 |   1 |  -1.32 | 0.08 |   1 |  -1.44 | 0.06 |   8 |        |      |     |   -1.65 |  0.12 |    7 |  -0.82 | 0.07 |   2 |  -1.74 | 0.06 |   2 |  -1.63 | 0.06 |   6 |       |      |    |  -1.38 | 0.10 |   1 |  -1.31 | 0.08 |   1 |        |      |     |  -0.71 | 0.08 |   1 |         |    0.04 |    0.07 |   -0.05 |         |    0.57 |   -0.35 |   -0.24 |        |    0.01 |    0.08 |         |    0.68 |
| Fnx-mem0754 |  -0.64 | 0.03 |  43 | -0.18 |  0.11 |    4 |  -1.27 | 0.22 |   1 |  -0.81 | 0.22 |   1 |  -0.41 | 0.22 |   1 |  -1.22 | 0.07 |   9 |        |      |     |   -1.10 |  0.09 |    7 |  -0.90 | 0.37 |   2 |  -0.92 | 0.22 |   1 |  -1.21 | 0.11 |   6 |       |      |    |  -0.32 | 0.16 |   2 |  -0.66 | 0.16 |   2 |  -0.34 | 0.22 |   1 |  -0.43 | 0.22 |   1 |   -0.63 |   -0.17 |    0.23 |   -0.58 |         |   -0.26 |   -0.28 |   -0.57 |        |    0.32 |   -0.02 |    0.30 |    0.21 |
| Fnx-mem0779 |  -2.05 | 0.05 |  30 | -1.57 |  0.18 |    2 |        |      |     |  -2.16 | 0.25 |   1 |        |      |     |  -2.05 | 0.12 |   4 |        |      |     |         |       |      |  -1.55 | 0.25 |   1 |  -2.23 | 0.25 |   1 |  -1.96 | 0.16 |   4 |       |      |    |  -1.97 | 0.25 |   1 |        |      |     |        |      |     |        |      |     |         |   -0.11 |         |    0.00 |         |    0.50 |   -0.18 |    0.09 |        |    0.08 |         |         |         |
| Fnx-rgb0507 |  -0.77 | 0.04 |  44 | -0.28 |  0.13 |    5 |        |      |     |  -1.07 | 0.28 |   1 |        |      |     |  -1.09 | 0.09 |   9 |  -0.57 | 0.28 |   1 |   -1.53 |  0.11 |    6 |  -0.96 | 0.28 |   1 |  -0.49 | 0.28 |   1 |  -0.88 | 0.10 |   8 |       |      |    |  -0.31 | 0.28 |   1 |  -0.57 | 0.28 |   1 |        |      |     |  -0.29 | 0.28 |   1 |         |   -0.30 |         |   -0.32 |    0.20 |   -0.19 |    0.28 |   -0.11 |        |    0.46 |    0.20 |         |    0.48 |
| Fnx-rgb0509 |  -1.15 | 0.03 |  41 | -0.43 |  0.14 |    3 |  -1.88 | 0.22 |   1 |  -1.15 | 0.22 |   1 |        |      |     |  -1.67 | 0.10 |   9 |        |      |     |   -1.67 |  0.08 |    7 |  -1.26 | 0.23 |   2 |  -1.71 | 0.22 |   1 |  -1.32 | 0.12 |   7 |       |      |    |  -0.67 | 0.22 |   1 |  -1.44 | 0.16 |   2 |        |      |     |  -0.91 | 0.22 |   1 |   -0.73 |    0.00 |         |   -0.52 |         |   -0.11 |   -0.56 |   -0.17 |        |    0.48 |   -0.29 |         |    0.24 |
| Fnx-rgb0522 |  -1.87 | 0.04 |  29 | -1.31 |  0.13 |    3 |        |      |     |  -1.36 | 0.22 |   1 |        |      |     |  -1.70 | 0.08 |   8 |  -1.69 | 0.22 |   1 |   -2.09 |  0.38 |    2 |  -1.23 | 0.28 |   3 |  -1.94 | 0.16 |   2 |  -1.84 | 0.08 |   8 |       |      |    |  -2.22 | 0.22 |   1 |        |      |     |        |      |     |  -1.11 | 0.22 |   1 |         |    0.51 |         |    0.17 |    0.18 |    0.64 |   -0.07 |    0.03 |        |   -0.35 |         |         |    0.76 |
| Fnx-rgb0539 |  -0.60 | 0.03 |  39 | -0.13 |  0.13 |    2 |        |      |     |  -0.70 | 0.18 |   1 |        |      |     |  -1.03 | 0.07 |   6 |        |      |     |   -0.69 |  0.09 |    5 |  -0.45 | 0.13 |   2 |        |      |     |  -0.90 | 0.11 |   7 |       |      |    |  -0.17 | 0.18 |   2 |  -0.28 | 0.18 |   1 |        |      |     |  -0.06 | 0.38 |   1 |         |   -0.10 |         |   -0.43 |         |    0.15 |         |   -0.30 |        |    0.43 |    0.32 |         |    0.54 |
| Fnx-rgb0553 |  -0.48 | 0.03 |  27 |       |       |      |        |      |     |  -0.91 | 0.13 |   1 |        |      |     |  -0.69 | 0.05 |   7 |        |      |     |   -0.76 |  0.09 |    3 |  -0.64 | 0.09 |   2 |  -0.33 | 0.15 |   1 |  -0.81 | 0.14 |   7 | -0.76 | 0.13 |  1 |  -0.30 | 0.13 |   1 |        |      |     |        |      |     |  -0.25 | 0.13 |   1 |         |   -0.43 |         |   -0.21 |         |   -0.16 |    0.15 |   -0.33 |  -0.28 |    0.18 |         |         |    0.23 |
| Fnx-rgb0556 |  -0.54 | 0.03 |  43 | -0.36 |  0.13 |    2 |  -1.53 | 0.19 |   1 |  -0.85 | 0.19 |   1 |  -0.49 | 0.19 |   1 |  -0.91 | 0.08 |   5 |        |      |     |   -1.17 |  0.07 |    8 |  -0.73 | 0.13 |   2 |  -1.02 | 0.19 |   1 |  -0.79 | 0.06 |  11 |       |      |    |  -0.29 | 0.19 |   1 |  -0.55 | 0.21 |   2 |  -0.22 | 0.19 |   1 |  -0.13 | 0.19 |   1 |   -0.99 |   -0.31 |    0.05 |   -0.37 |         |   -0.19 |   -0.48 |   -0.25 |        |    0.25 |   -0.01 |    0.32 |    0.41 |
| Fnx-rgb0561 |  -0.97 | 0.03 |  35 | -0.39 |  0.12 |    4 |  -1.39 | 0.16 |   1 |  -0.93 | 0.16 |   1 |  -0.46 | 0.16 |   1 |  -0.94 | 0.13 |   6 |  -0.81 | 0.16 |   1 |   -1.31 |  0.06 |    8 |  -1.28 | 0.16 |   1 |  -1.43 | 0.16 |   1 |  -1.08 | 0.09 |  10 |       |      |    |  -0.30 | 0.11 |   2 |  -0.34 | 0.16 |   1 |  -0.19 | 0.16 |   1 |  -0.52 | 0.16 |   1 |   -0.42 |    0.04 |    0.51 |    0.03 |    0.16 |   -0.31 |   -0.46 |   -0.11 |        |    0.67 |    0.63 |    0.78 |    0.45 |
| Fnx-rgb0574 |  -0.97 | 0.02 |  46 | -0.80 |  0.19 |    4 |  -1.22 | 0.10 |   2 |  -0.93 | 0.14 |   1 |  -0.90 | 0.14 |   1 |  -1.13 | 0.07 |   9 |        |      |     |   -1.17 |  0.06 |    5 |  -1.30 | 0.14 |   1 |        |      |     |  -1.05 | 0.04 |  14 |       |      |    |  -0.37 | 0.14 |   1 |  -0.62 | 0.14 |   1 |  -0.76 | 0.14 |   1 |  -0.55 | 0.14 |   1 |   -0.25 |    0.04 |    0.07 |   -0.16 |         |   -0.33 |         |   -0.08 |        |    0.60 |    0.35 |    0.21 |    0.42 |
| Fnx-rgb0590 |  -1.51 | 0.03 |  35 | -1.09 |  0.17 |    4 |        |      |     |  -1.39 | 0.18 |   1 |  -1.26 | 0.18 |   1 |  -1.59 | 0.06 |   9 |        |      |     |   -1.72 |  0.11 |    5 |  -1.28 | 0.20 |   3 |  -1.64 | 0.18 |   1 |  -1.43 | 0.13 |   6 |       |      |    |  -1.22 | 0.18 |   1 |  -0.71 | 0.14 |   2 |        |      |     |  -0.84 | 0.18 |   1 |         |    0.12 |    0.25 |   -0.08 |         |    0.23 |   -0.13 |    0.08 |        |    0.29 |    0.80 |         |    0.67 |
| Fnx-rgb0596 |  -2.68 | 0.04 |  25 | -2.07 |  0.19 |    1 |        |      |     |        |      |     |        |      |     |  -2.50 | 0.10 |   4 |        |      |     |   -2.28 |  0.19 |    1 |  -2.63 | 0.19 |   1 |  -3.26 | 0.19 |   1 |  -2.95 | 0.20 |   1 |       |      |    |  -3.53 | 0.18 |   2 |        |      |     |  -0.98 | 0.19 |   1 |        |      |     |         |         |         |    0.18 |         |    0.05 |   -0.58 |   -0.27 |        |   -0.85 |         |    1.70 |         |
