HE 0143-0441     01 45 37.9 -04 26 43.4 6276 3.84 1.4 -2.3 -2.32 1 9, 10     
HE 0148-2611     01 50 59.6 -25 57 03.2 6605 4.23 1.3 -3.1 -3.05 0 6         
HE 0206-1916     02 09 19.6 -19 01 55.5 5073 2.23 2.0 -2.5 -2.52 1 3         
HE 0218-2738     02 21 03.9 -27 24 40.5 6593 4.29 1.5 -3.6 -3.57 0 6         
CS 31061-032     02 38 43.3 +03 19 02.4 6448 4.33 1.3 -2.6 -2.56 0 5         
CS 22189-009     02 41 42.4 -13 28 10.5 4944 1.83 1.9 -3.5 -3.48 0 7         
HE 0242-0732     02 45 00.7 -07 19 42.1 6572 4.29 1.9 -3.3 -3.30 0 6         
CS 22963-004     02 56 46.6 -04 51 17.5 5597 3.34 1.7 -3.5 -3.54 0 14        
CS 31078-018     03 01 00.7 +06 16 31.9 5100 2.27 1.5 -3.0 -2.99 0 14        
LP 831-70        03 06 05.4 -22 19 17.9 6408 4.37 1.7 -3.0 -2.95 0 9         
CS 22968-014     03 06 29.5 -54 30 32.5 4864 1.60 1.9 -3.6 -3.58 0 7         
CS 22172-002     03 14 20.8 -10 35 11.3 4893 1.68 2.0 -3.8 -3.77 0 7         
HE 0336+0113     03 38 52.9 +01 23 07.8 5819 3.59 1.4 -2.6 -2.60 1 10        
HE 0400-2030     04 02 14.8 -20 21 53.5 5579 3.53 1.5 -1.7 -1.68 1 3         
CS 22177-009     04 07 40.6 -25 02 43.9 6423 4.37 1.3 -3.0 -2.98 0 5         
CS 22169-035     04 12 13.9 -12 05 05.1 4654 1.10 1.9 -2.8 -2.95 0 7, 13     
CS 22186-025     04 24 32.8 -37 09 02.6 4871 1.66 2.0 -3.1 -3.07 0 7         
HE 0441-0652     04 43 29.9 -06 46 53.5 4811 1.52 2.1 -2.8 -2.77 1 3         
BD +03 deg 740   05 01 16.6 +04 06 37.1 6485 4.31 1.6 -2.7 -2.70 0 6, 14     
HE 0507-1653     05 09 16.6 -16 50 04.6 4935 1.88 1.5 -1.2 -1.32 1 3         
HE 0508-1555     05 10 35.5 -15 51 38.3 6451 4.32 1.4 -2.4 -2.40 0 9         
HE 0557-4840     05 58 39.3 -48 39 56.8 4900 2.20 1.8 -4.8 -4.81 1 16        
SDSS 0924+40     09 24 01.9 +40 59 28.8 6196 3.77 1.2 -2.7 -2.68 1 4         
HE 1005-1439     10 07 52.4 -14 54 21.0 5202 2.55 1.6 -3.1 -3.09 1 3         
HD 88609         10 14 29.0 +53 33 39.4 4541 0.80 1.6 -3.0 -2.98 0 13        
HE 1012-1540     10 14 53.5 -15 55 53.2 5745 3.45 1.4 -3.5 -3.47 1 11        
BS 16469-075     10 15 10.2 +42 53 17.3 4919 1.78 1.6 -3.3 -3.25 0 13        
HE 1031-0020     10 34 24.2 -00 36 08.4 5043 2.13 1.1 -2.8 -2.79 1 10        
BS 16077-007     11 35 18.0 +31 00 23.7 6486 4.31 1.6 -2.8 -2.77 0 14        
HE 1150-0428     11 53 06.6 -04 45 03.4 5208 2.54 1.6 -3.5 -3.47 1 10        
BS 16920-017     12 07 16.8 +41 39 32.5 4851 1.58 1.7 -3.4 -3.40 0 13        
BS 16928-053     12 22 28.0 +34 11 31.8 4679 1.16 1.6 -3.0 -2.93 0 13, 14    
BS 16085-050     12 37 46.7 +19 22 49.5 4910 1.76 1.8 -3.2 -3.16 0 13        
BS 16076-006     12 48 22.8 +20 56 44.0 5566 3.32 1.7 -3.5 -3.51 0 5         
HE 1300+0157     13 02 56.2 +01 41 52.1 5529 3.25 1.5 -3.8 -3.75 1 11, 12    
BS 16929-005     13 03 29.5 +33 51 09.1 5229 2.61 1.6 -3.4 -3.34 1 3, 13, 14 
HD 115444        13 16 42.5 +36 22 52.9 4711 1.23 0.7 -2.7 -2.65 0 13        
HE 1320+0038     13 22 35.4 +00 22 32.6 6566 3.99 1.9 -2.7 -2.68 0 9         
HE 1319-1935     13 22 38.7 -19 51 11.6 4691 1.27 2.8 -2.2 -2.22 1 3         
HE 1327-2326     13 30 06.0 -23 41 49.7 6180 3.70 1.7 -5.5 -5.76 1 2         
BS 16467-062     13 42 00.6 +17 48 40.9 5310 2.80 1.7 -3.7 -3.80 0 7, 11, 14 
BS 16082-129     13 47 11.7 +28 57 47.1 4868 1.67 0.9 -2.9 -2.84 0 13        
HE 1347-1025     13 50 22.4 -10 40 18.9 5206 2.52 1.8 -3.8 -3.71 0 11        
HE 1356-0622     13 59 30.3 -06 36 35.0 4953 1.85 1.9 -3.7 -3.63 0 11        
BS 16023-046     14 00 54.5 +22 46 42.3 6571 4.25 1.4 -2.9 -2.83 0 5         
HD 122563        14 02 31.9 +09 41 10.1 4843 1.62 1.8 -2.5 -2.54 0 7, 13     
BS 16550-087     14 10 26.7 +18 01 24.0 4754 1.32 2.2 -3.6 -3.54 0 14        
HE 1424-0241     14 26 40.3 -02 54 27.5 5260 2.66 1.6 -4.1 -4.05 0 11        
HD 126587        14 27 00.4 -22 14 38.9 4853 1.61 1.6 -3.0 -3.00 0 13        
HE 1429-0551     14 32 31.3 -06 05 00.3 4757 1.39 1.9 -2.6 -2.60 1 3         
BS 16477-003     14 32 56.9 +06 46 07.0 4879 1.66 1.7 -3.4 -3.39 0 7         
CS 30325-094     14 54 39.3 +04 21 38.1 4948 1.85 1.6 -3.4 -3.35 0 7         
BS 16968-061     15 01 06.1 +03 42 45.5 6343 3.82 1.6 -2.9 -2.85 0 5         
CS 30325-028     15 05 19.8 +06 17 07.0 4894 1.73 1.7 -2.9 -2.87 0 14        
CS 30301-024     15 08 29.7 -00 35 59.2 6584 4.03 1.5 -2.6 -2.54 0 5         
CS 30301-015     15 08 56.8 +02 30 18.5 4889 1.73 2.4 -2.8 -2.73 1 1         
CS 30306-132     15 14 18.9 +07 27 02.8 5047 2.16 1.5 -2.6 -2.56 0 13        
CS 30312-059     15 34 48.8 -01 23 37.3 4908 1.75 1.7 -3.2 -3.22 0 14        
HD 140283        15 43 03.1 -10 56 01.0 5711 3.53 1.1 -2.6 -2.56 0 6, 13     
CS 30312-100     15 43 31.7 +02 01 17.4 5117 2.34 1.8 -2.6 -2.66 0 3         
CS 22884-108     15 49 57.6 -09 14 09.2 6107 4.52 1.2 -3.3 -3.30 0 14        
BS 16084-160     16 28 50.8 +54 37 06.8 4727 1.27 2.0 -3.2 -3.20 0 14        
CS 22872-102     16 29 20.7 -03 04 56.6 5911 3.60 1.4 -2.9 -2.94 0 14        
CS 22878-027     16 37 35.9 +10 22 07.8 6319 4.41 1.4 -2.5 -2.51 1 14        
BS 16080-054     16 39 18.5 +60 57 42.6 4902 1.75 1.9 -3.0 -2.94 0 14        
